,Ajdovscina,Bled,Celje,Divaca,Dravograd,Gornjattradgona,Izola,Jesenice,Kamnik,Koper,Kovevje,Kranj,Krsko,Lasko,Ljubljana,Ljutomer,Maribor,Murskattsobota,Novattgorica,Novottmesto,Ormoz,Peercelje_0,Portoroz,Postojna,Ptuj,Radenci,Ravnettnattkoroskem,Rogasjattslatina,Senozece,Sezana,Slovenjttgradec,Slovenskattbistrica,Tolmin,Trbovlje,Velenje,d_in,d_out,CB,EC
Postojna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0.0873,"[{'Next_Hop': 'postojna_FastEthernet0/0', 'Networks': '10.0.0.36/31|10.0.0.37/32'}, {'Next_Hop': 'postojna_FastEthernet0/1', 'Networks': '10.0.0.67/32|10.0.0.66/31'}]"
Ptuj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0.1747,"[{'Next_Hop': 'ptuj_FastEthernet1/0', 'Networks': '10.0.0.61/32|10.0.0.60/31'}, {'Next_Hop': 'ptuj_FastEthernet0/1', 'Networks': '10.0.0.84/31|10.0.0.85/32'}, {'Next_Hop': 'ptuj_FastEthernet0/0', 'Networks': '10.0.0.86/32|10.0.0.86/31'}]"
Radenci,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0508,"[{'Next_Hop': 'radenci_FastEthernet0/0', 'Networks': '10.0.0.54/31|10.0.0.55/32'}, {'Next_Hop': 'radenci_FastEthernet0/1', 'Networks': '10.0.0.58/31|10.0.0.58/32'}]"
Ravnettnattkoroskem,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'ravnettnattkoroskem_FastEthernet0/0', 'Networks': '10.0.0.92/31|10.0.0.93/32'}]"
Rogasjattslatina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0303,"[{'Next_Hop': 'rogasjattslatina_FastEthernet0/0', 'Networks': '10.0.0.5/32|10.0.0.4/31'}, {'Next_Hop': 'rogasjattslatina_FastEthernet0/1', 'Networks': '10.0.0.60/32|10.0.0.60/31'}]"
Senozece,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,0.0633,"[{'Next_Hop': 'senozece_FastEthernet1/0', 'Networks': '10.0.0.62/32|10.0.0.62/31'}, {'Next_Hop': 'senozece_FastEthernet0/0', 'Networks': '10.0.0.64/31|10.0.0.64/32'}, {'Next_Hop': 'senozece_FastEthernet0/1', 'Networks': '10.0.0.66/32|10.0.0.66/31'}]"
Sezana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'sezana_FastEthernet0/0', 'Networks': '10.0.0.62/31|10.0.0.63/32'}]"
Slovenjttgradec,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.0,"[{'Next_Hop': 'slovenjttgradec_FastEthernet0/0', 'Networks': '10.0.0.74/32|10.0.0.74/31'}, {'Next_Hop': 'slovenjttgradec_FastEthernet0/1', 'Networks': '10.0.0.76/31|10.0.0.76/32'}]"
Slovenskattbistrica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0152,"[{'Next_Hop': 'slovenskattbistrica_FastEthernet0/0', 'Networks': '10.0.0.15/32|10.0.0.14/31'}, {'Next_Hop': 'slovenskattbistrica_FastEthernet0/1', 'Networks': '10.0.0.91/32|10.0.0.90/31'}]"
Tolmin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0036,"[{'Next_Hop': 'tolmin_FastEthernet0/0', 'Networks': '10.0.0.31/32|10.0.0.30/31'}, {'Next_Hop': 'tolmin_FastEthernet0/1', 'Networks': '10.0.0.46/31|10.0.0.46/32'}]"
Trbovlje,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,"[{'Next_Hop': 'trbovlje_FastEthernet0/0', 'Networks': '10.0.0.0/32|10.0.0.0/31'}, {'Next_Hop': 'trbovlje_FastEthernet0/1', 'Networks': '10.0.0.2/31|10.0.0.2/32'}]"
Velenje,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0.0166,"[{'Next_Hop': 'velenje_FastEthernet0/0', 'Networks': '10.0.0.9/32|10.0.0.8/31'}, {'Next_Hop': 'velenje_FastEthernet1/0', 'Networks': '10.0.0.76/31|10.0.0.77/32'}, {'Next_Hop': 'velenje_FastEthernet0/1', 'Networks': '10.0.0.78/32|10.0.0.78/31'}]"
