Next_Hop,Networks
catania_FastEthernet0/0,10.0.0.74/31|10.0.0.74/32
charleroi_FastEthernet0/0,10.0.0.120/32|10.0.0.120/31
chiasso_FastEthernet0/0,10.0.0.190/32|10.0.0.190/31
chiasso_FastEthernet0/1,10.0.0.192/31|10.0.0.192/32
chicago_FastEthernet0/0,10.0.0.91/32|10.0.0.90/31
cologne_FastEthernet0/0,10.0.0.46/31|10.0.0.46/32
cologne_FastEthernet0/1,10.0.0.48/31|10.0.0.48/32
como_FastEthernet0/0,10.0.0.191/32|10.0.0.190/31
como_FastEthernet0/1,10.0.0.212/32|10.0.0.212/31
copenhagen_FastEthernet2/0,10.0.0.140/32|10.0.0.140/31
copenhagen_FastEthernet0/1,10.0.0.142/32|10.0.0.142/31
copenhagen_FastEthernet1/0,10.0.0.144/31|10.0.0.144/32
copenhagen_FastEthernet1/1,10.0.0.146/31|10.0.0.146/32
copenhagen_FastEthernet0/0,10.0.0.148/31|10.0.0.148/32
cuneo_FastEthernet0/0,10.0.1.18/31|10.0.1.18/32
denttbosch_FastEthernet1/0,10.0.0.71/32|10.0.0.70/31
denttbosch_FastEthernet0/1,10.0.0.130/31|10.0.0.131/32
denttbosch_FastEthernet0/0,10.0.0.137/32|10.0.0.136/31
denttbosch_FastEthernet1/1,10.0.0.138/32|10.0.0.138/31
dijon_FastEthernet0/0,10.0.1.68/31|10.0.1.69/32
dortmund_FastEthernet0/1,10.0.1.83/32|10.0.1.82/31
dortmund_FastEthernet0/0,10.0.1.84/31|10.0.1.84/32
dresden_FastEthernet0/1,10.0.0.15/32|10.0.0.14/31
dresden_FastEthernet0/0,10.0.0.16/32|10.0.0.16/31
dresden_FastEthernet1/0,10.0.0.18/31|10.0.0.18/32
dublin_FastEthernet0/1,10.0.0.222/31|10.0.0.222/32
dublin_FastEthernet0/0,10.0.0.224/32|10.0.0.224/31
dusseldorf_FastEthernet0/1,10.0.0.46/31|10.0.0.47/32
dusseldorf_FastEthernet1/0,10.0.0.60/31|10.0.0.60/32
dusseldorf_FastEthernet0/0,10.0.0.62/32|10.0.0.62/31
dusseldorf_FastEthernet1/1,10.0.0.64/31|10.0.0.64/32
dusseldorf_FastEthernet2/0,10.0.0.66/31|10.0.0.66/32
eindhoven_FastEthernet0/0,10.0.0.130/31|10.0.0.130/32
erding_FastEthernet0/0,10.0.0.28/31|10.0.0.28/32
essen_FastEthernet0/1,10.0.0.60/31|10.0.0.61/32
essen_FastEthernet1/0,10.0.0.151/32|10.0.0.150/31
essen_FastEthernet0/0,10.0.1.85/32|10.0.1.84/31
esslingen_FastEthernet0/0,10.0.0.106/32|10.0.0.106/31
evere_FastEthernet0/0,10.0.0.134/31|10.0.0.134/32
firenze_FastEthernet0/1,10.0.0.199/32|10.0.0.198/31
firenze_FastEthernet1/0,10.0.0.202/32|10.0.0.202/31
firenze_FastEthernet0/0,10.0.0.204/31|10.0.0.204/32
frankfurt_FastEthernet0/1,10.0.0.40/31|10.0.0.41/32
frankfurt_FastEthernet0/0,10.0.0.49/32|10.0.0.48/31
geneve_FastEthernet0/1,10.0.0.118/31|10.0.0.119/32
geneve_FastEthernet0/0,10.0.1.73/32|10.0.1.72/31
genova_FastEthernet0/1,10.0.0.196/32|10.0.0.196/31
genova_FastEthernet0/0,10.0.0.198/32|10.0.0.198/31
ghent_FastEthernet0/1,10.0.0.232/32|10.0.0.232/31
ghent_FastEthernet0/0,10.0.0.234/31|10.0.0.234/32
ghent_FastEthernet1/0,10.0.0.236/32|10.0.0.236/31
gothenburg_FastEthernet0/0,10.0.0.143/32|10.0.0.142/31
gothenburg_FastEthernet0/1,10.0.0.172/32|10.0.0.172/31
graz_FastEthernet0/1,10.0.0.31/32|10.0.0.30/31
graz_FastEthernet0/0,10.0.1.28/32|10.0.1.28/31
grenoble_FastEthernet0/0,10.0.1.4/32|10.0.1.4/31
hamburg_FastEthernet3/0,10.0.0.9/32|10.0.0.8/31
hamburg_FastEthernet2/0,10.0.0.57/32|10.0.0.56/31
hamburg_FastEthernet1/0,10.0.0.144/31|10.0.0.145/32
hamburg_FastEthernet1/1,10.0.0.150/32|10.0.0.150/31
hamburg_FastEthernet0/0,10.0.0.152/31|10.0.0.152/32
hamburg_FastEthernet2/1,10.0.0.154/32|10.0.0.154/31
hamburg_FastEthernet0/1,10.0.0.156/31|10.0.0.156/32
hannover_FastEthernet0/0,10.0.0.56/32|10.0.0.56/31
hannover_FastEthernet0/1,10.0.0.58/31|10.0.0.58/32
helsinki_FastEthernet0/0,10.0.0.168/31|10.0.0.169/32
hilversum_FastEthernet0/1,10.0.1.75/32|10.0.1.74/31
hilversum_FastEthernet0/0,10.0.1.78/31|10.0.1.78/32
hoofddorp_FastEthernet0/1,10.0.0.54/31|10.0.0.55/32
hoofddorp_FastEthernet0/0,10.0.1.80/32|10.0.1.80/31
innsbruck_FastEthernet0/0,10.0.1.33/32|10.0.1.32/31
karlsruhe_FastEthernet0/0,10.0.0.43/32|10.0.0.42/31
karlsruhe_FastEthernet0/1,10.0.0.92/32|10.0.0.92/31
karlsruhe_FastEthernet1/0,10.0.0.94/31|10.0.0.94/32
klagenfurt_FastEthernet0/0,10.0.1.29/32|10.0.1.28/31
kolding_FastEthernet0/1,10.0.0.155/32|10.0.0.154/31
kolding_FastEthernet0/0,10.0.0.158/31|10.0.0.159/32
kortnijk_FastEthernet0/0,10.0.1.60/31|10.0.1.60/32
krakov_FastEthernet0/0,10.0.0.20/31|10.0.0.20/32
krakov_FastEthernet0/1,10.0.0.22/31|10.0.0.22/32
lausanne_FastEthernet0/0,10.0.0.110/31|10.0.0.110/32
lausanne_FastEthernet0/1,10.0.0.112/31|10.0.0.112/32
leipzig_FastEthernet0/1,10.0.0.12/32|10.0.0.12/31
leipzig_FastEthernet0/0,10.0.0.14/32|10.0.0.14/31
leuven_FastEthernet0/0,10.0.0.128/32|10.0.0.128/31
liege_FastEthernet0/0,10.0.0.122/31|10.0.0.122/32
lille_FastEthernet0/1,10.0.0.181/32|10.0.0.180/31
lille_FastEthernet0/0,10.0.0.233/32|10.0.0.232/31
lille_FastEthernet1/0,10.0.1.58/32|10.0.1.58/31
linz_FastEthernet0/1,10.0.0.0/32|10.0.0.0/31
linz_FastEthernet1/0,10.0.0.2/31|10.0.0.2/32
linz_FastEthernet0/0,10.0.0.4/32|10.0.0.4/31
lisbon_FastEthernet1/0,10.0.0.73/32|10.0.0.72/31
lisbon_FastEthernet0/1,10.0.0.76/31|10.0.0.77/32
lisbon_FastEthernet0/0,10.0.0.78/32|10.0.0.78/31
livorno_FastEthernet0/0,10.0.0.200/32|10.0.0.200/31
london_FastEthernet0/0,10.0.0.89/32|10.0.0.88/31
london_FastEthernet2/1,10.0.0.163/32|10.0.0.162/31
london_FastEthernet2/0,10.0.0.166/31|10.0.0.167/32
london_FastEthernet3/0,10.0.0.183/32|10.0.0.182/31
london_FastEthernet1/0,10.0.0.223/32|10.0.0.222/31
london_FastEthernet1/1,10.0.0.226/31|10.0.0.227/32
london_FastEthernet3/1,10.0.1.20/31|10.0.1.21/32
london_FastEthernet0/1,10.0.1.94/32|10.0.1.94/31
lucerne_FastEthernet0/1,10.0.0.186/31|10.0.0.186/32
lucerne_FastEthernet0/0,10.0.0.188/31|10.0.0.188/32
lugano_FastEthernet0/1,10.0.0.188/31|10.0.0.189/32
lugano_FastEthernet0/0,10.0.0.192/31|10.0.0.193/32
luxembourg_FastEthernet0/0,10.0.0.132/32|10.0.0.132/31
lyon_FastEthernet1/1,10.0.1.0/31|10.0.1.1/32
lyon_FastEthernet1/0,10.0.1.4/31|10.0.1.5/32
lyon_FastEthernet0/0,10.0.1.68/31|10.0.1.68/32
lyon_FastEthernet2/0,10.0.1.70/31|10.0.1.70/32
lyon_FastEthernet0/1,10.0.1.72/32|10.0.1.72/31
madrid_FastEthernet0/1,10.0.0.79/32|10.0.0.78/31
madrid_FastEthernet1/0,10.0.0.247/32|10.0.0.246/31
madrid_FastEthernet0/0,10.0.1.10/31|10.0.1.11/32
ip 10.0.1.10,128.0.0.0/24
magdemburg_FastEthernet0/0,10.0.0.175/32|10.0.0.174/31
malmo_FastEthernet0/0,10.0.0.146/31|10.0.0.147/32
manchester_FastEthernet0/1,10.0.0.226/32|10.0.0.226/31
manchester_FastEthernet0/0,10.0.0.228/32|10.0.0.228/31
mannheim_FastEthernet0/0,10.0.0.40/32|10.0.0.40/31
mannheim_FastEthernet0/1,10.0.0.42/32|10.0.0.42/31
marseille_FastEthernet1/0,10.0.0.252/31|10.0.0.252/32
marseille_FastEthernet1/1,10.0.0.254/31|10.0.0.254/32
marseille_FastEthernet0/0,10.0.1.0/32|10.0.1.0/31
marseille_FastEthernet0/1,10.0.1.2/31|10.0.1.2/32
milan_FastEthernet4/1,10.0.0.195/32|10.0.0.194/31
milan_FastEthernet2/0,10.0.0.197/32|10.0.0.196/31
milan_FastEthernet2/1,10.0.0.201/32|10.0.0.200/31
milan_FastEthernet5/1,10.0.0.207/32|10.0.0.206/31
milan_FastEthernet4/0,10.0.0.208/31|10.0.0.209/32
milan_FastEthernet8/0,10.0.0.210/31|10.0.0.211/32
milan_FastEthernet1/1,10.0.0.213/32|10.0.0.212/31
milan_FastEthernet1/0,10.0.1.12/31|10.0.1.13/32
milan_FastEthernet3/1,10.0.1.14/31|10.0.1.15/32
milan_FastEthernet0/1,10.0.1.17/32|10.0.1.16/31
milan_FastEthernet6/1,10.0.1.26/31|10.0.1.27/32
milan_FastEthernet6/0,10.0.1.37/32|10.0.1.36/31
milan_FastEthernet5/0,10.0.1.42/31|10.0.1.43/32
milan_FastEthernet0/0,10.0.1.48/31|10.0.1.49/32
milan_FastEthernet3/0,10.0.1.51/32|10.0.1.50/31
milan_FastEthernet7/0,10.0.1.54/31|10.0.1.55/32
milan_FastEthernet8/1,10.0.1.56/31|10.0.1.57/32
milan_FastEthernet7/1,10.0.1.89/32|10.0.1.88/31
modena_FastEthernet0/1,10.0.1.38/31|10.0.1.38/32
modena_FastEthernet0/0,10.0.1.40/32|10.0.1.40/31
mons_FastEthernet0/0,10.0.0.126/31|10.0.0.126/32
montpellier_FastEthernet0/1,10.0.0.242/31|10.0.0.243/32
montpellier_FastEthernet0/0,10.0.1.2/31|10.0.1.3/32
monza_FastEthernet0/0,10.0.1.50/31|10.0.1.50/32
munich_FastEthernet0/1,10.0.0.26/31|10.0.0.27/32
munich_FastEthernet0/0,10.0.0.29/32|10.0.0.28/31
munich_FastEthernet1/1,10.0.0.39/32|10.0.0.38/31
munich_FastEthernet1/0,10.0.0.44/32|10.0.0.44/31
nantes_FastEthernet0/0,10.0.1.6/31|10.0.1.7/32
nantes_FastEthernet0/1,10.0.1.66/32|10.0.1.66/31
napoli_FastEthernet0/0,10.0.0.251/32|10.0.0.250/31
neuss_FastEthernet0/0,10.0.0.64/31|10.0.0.65/32
newark_FastEthernet1/0,10.0.0.160/31|10.0.0.160/32
newark_FastEthernet0/0,10.0.0.162/32|10.0.0.162/31
newark_FastEthernet0/1,10.0.0.164/31|10.0.0.164/32
newttyork_FastEthernet0/1,10.0.0.164/31|10.0.0.165/32
newttyork_FastEthernet0/0,10.0.0.166/31|10.0.0.166/32
nice_FastEthernet0/0,10.0.0.252/31|10.0.0.253/32
nodeid60_FastEthernet0/1,10.0.0.58/31|10.0.0.59/32
nodeid60_FastEthernet1/0,10.0.0.174/32|10.0.0.174/31
nodeid60_FastEthernet0/0,10.0.0.176/32|10.0.0.176/31
nodeid62_FastEthernet0/0,10.0.0.180/32|10.0.0.180/31
nodeid62_FastEthernet0/1,10.0.0.182/31|10.0.0.182/32
nodeid62_FastEthernet1/0,10.0.0.184/31|10.0.0.184/32
nodeid73_FastEthernet1/1,10.0.0.111/32|10.0.0.110/31
nodeid73_FastEthernet1/0,10.0.0.114/31|10.0.0.115/32
nodeid73_FastEthernet0/1,10.0.0.214/32|10.0.0.214/31
nodeid73_FastEthernet0/0,10.0.0.216/32|10.0.0.216/31
nodeid79_FastEthernet0/0,10.0.0.238/32|10.0.0.238/31
nodeid79_FastEthernet1/0,10.0.0.240/31|10.0.0.240/32
nodeid79_FastEthernet0/1,10.0.0.242/31|10.0.0.242/32
ip 10.0.0.239,128.0.0.0/24
novara_FastEthernet0/0,10.0.1.14/31|10.0.1.14/32
nuremberg_FastEthernet0/0,10.0.0.13/32|10.0.0.12/31
nuremberg_FastEthernet0/1,10.0.0.26/31|10.0.0.26/32
nyon_FastEthernet0/1,10.0.0.112/31|10.0.0.113/32
nyon_FastEthernet0/0,10.0.0.118/31|10.0.0.118/32
oslo_FastEthernet0/1,10.0.0.170/31|10.0.0.171/32
oslo_FastEthernet0/0,10.0.0.173/32|10.0.0.172/31
ostend_FastEthernet0/1,10.0.0.185/32|10.0.0.184/31
ostend_FastEthernet0/0,10.0.0.237/32|10.0.0.236/31
padova_FastEthernet0/0,10.0.0.249/32|10.0.0.248/31
padova_FastEthernet0/1,10.0.1.25/32|10.0.1.24/31
padova_FastEthernet1/0,10.0.1.44/31|10.0.1.44/32
palermo_FastEthernet0/0,10.0.0.84/32|10.0.0.84/31
paris_FastEthernet1/0,10.0.0.160/31|10.0.0.161/32
paris_FastEthernet0/0,10.0.1.59/32|10.0.1.58/31
paris_FastEthernet2/0,10.0.1.65/32|10.0.1.64/31
paris_FastEthernet0/1,10.0.1.70/31|10.0.1.71/32
paris_FastEthernet2/1,10.0.1.90/32|10.0.1.90/31
paris_FastEthernet1/1,10.0.1.92/31|10.0.1.92/32
parma_FastEthernet0/0,10.0.0.208/31|10.0.0.208/32
peerbarcelona_0_FastEthernet0/0,10.0.1.87/32|10.0.1.86/31
peerbarcelona_0_Loopback0,128.0.0.1/32|128.0.0.0/24
pfaffikon_FastEthernet0/0,10.0.0.98/32|10.0.0.98/31
pfaffikon_FastEthernet0/1,10.0.0.100/32|10.0.0.100/31
piacenza_FastEthernet0/0,10.0.0.194/32|10.0.0.194/31
poitiers_FastEthernet0/0,10.0.1.96/31|10.0.1.97/32
porto_FastEthernet0/0,10.0.0.76/31|10.0.0.76/32
potsdam_FastEthernet0/0,10.0.0.10/31|10.0.0.10/32
prague_FastEthernet0/0,10.0.0.18/31|10.0.0.19/32
prague_FastEthernet0/1,10.0.0.20/31|10.0.0.21/32
prague_FastEthernet1/0,10.0.0.36/31|10.0.0.37/32
reading_FastEthernet0/1,10.0.1.20/31|10.0.1.20/32
reading_FastEthernet0/0,10.0.1.22/31|10.0.1.22/32
reggiottemilia_FastEthernet0/1,10.0.1.38/31|10.0.1.39/32
reggiottemilia_FastEthernet0/0,10.0.1.42/32|10.0.1.42/31
rennes_FastEthernet0/0,10.0.1.67/32|10.0.1.66/31
rennes_FastEthernet0/1,10.0.1.98/31|10.0.1.98/32
rimini_FastEthernet0/0,10.0.0.206/32|10.0.0.206/31
rome_FastEthernet1/1,10.0.0.74/31|10.0.0.75/32
rome_FastEthernet4/0,10.0.0.80/31|10.0.0.81/32
rome_FastEthernet0/0,10.0.0.83/32|10.0.0.82/31
rome_FastEthernet3/1,10.0.0.84/31|10.0.0.85/32
rome_FastEthernet1/0,10.0.0.87/32|10.0.0.86/31
rome_FastEthernet0/1,10.0.0.179/32|10.0.0.178/31
rome_FastEthernet2/0,10.0.0.203/32|10.0.0.202/31
rome_FastEthernet3/0,10.0.0.248/32|10.0.0.248/31
rome_FastEthernet2/1,10.0.0.250/32|10.0.0.250/31
rostock_FastEthernet0/0,10.0.0.6/31|10.0.0.6/32
rostock_FastEthernet0/1,10.0.0.8/32|10.0.0.8/31
rotterdam_FastEthernet0/1,10.0.0.53/32|10.0.0.52/31
rotterdam_FastEthernet0/0,10.0.0.70/32|10.0.0.70/31
rouen_FastEthernet0/0,10.0.1.93/32|10.0.1.92/31
rouen_FastEthernet0/1,10.0.1.98/31|10.0.1.99/32
salzburg_FastEthernet0/1,10.0.0.5/32|10.0.0.4/31
salzburg_FastEthernet0/0,10.0.1.32/32|10.0.1.32/31
sassari_FastEthernet0/0,10.0.0.80/31|10.0.0.80/32
schaffhausen_FastEthernet0/0,10.0.0.105/32|10.0.0.104/31
schaffhausen_FastEthernet0/1,10.0.0.116/32|10.0.0.116/31
sintra_FastEthernet0/0,10.0.0.72/32|10.0.0.72/31
stockholm_FastEthernet0/0,10.0.0.141/32|10.0.0.140/31
stockholm_FastEthernet0/1,10.0.0.168/32|10.0.0.168/31
stockholm_FastEthernet1/0,10.0.0.170/31|10.0.0.170/32
strasbourg_FastEthernet0/1,10.0.0.93/32|10.0.0.92/31
strasbourg_FastEthernet0/0,10.0.1.63/32|10.0.1.62/31
strasbourg_FastEthernet1/0,10.0.1.64/32|10.0.1.64/31
stttgallen_FastEthernet0/0,10.0.0.99/32|10.0.0.98/31
stttgallen_FastEthernet1/0,10.0.0.102/31|10.0.0.102/32
stttgallen_FastEthernet0/1,10.0.0.104/31|10.0.0.104/32
stttpollen_FastEthernet0/0,10.0.0.1/32|10.0.0.0/31
stuttgart_FastEthernet1/1,10.0.0.44/31|10.0.0.45/32
stuttgart_FastEthernet1/0,10.0.0.94/31|10.0.0.95/32
stuttgart_FastEthernet0/0,10.0.0.96/31|10.0.0.97/32
stuttgart_FastEthernet0/1,10.0.0.107/32|10.0.0.106/31
thetthague_FastEthernet0/0,10.0.0.50/32|10.0.0.50/31
thetthague_FastEthernet1/0,10.0.0.52/31|10.0.0.52/32
thetthague_FastEthernet0/1,10.0.0.54/31|10.0.0.54/32
toulouse_FastEthernet0/1,10.0.0.241/32|10.0.0.240/31
toulouse_FastEthernet0/0,10.0.1.9/32|10.0.1.8/31
ip 10.0.0.240,128.0.0.0/24
tours_FastEthernet0/0,10.0.1.90/31|10.0.1.91/32
tours_FastEthernet0/1,10.0.1.96/31|10.0.1.96/32
trento_FastEthernet0/0,10.0.1.36/32|10.0.1.36/31
treviso_FastEthernet0/0,10.0.1.26/31|10.0.1.26/32
trieste_FastEthernet0/0,10.0.1.54/31|10.0.1.54/32
turin_FastEthernet0/1,10.0.0.254/31|10.0.0.255/32
turin_FastEthernet0/0,10.0.1.18/31|10.0.1.19/32
turin_FastEthernet1/0,10.0.1.88/31|10.0.1.88/32
utrecht_FastEthernet0/0,10.0.0.138/31|10.0.0.139/32
utrecht_FastEthernet0/1,10.0.1.74/32|10.0.1.74/31
valencia_FastEthernet0/0,10.0.0.244/32|10.0.0.244/31
valencia_FastEthernet0/1,10.0.0.246/32|10.0.0.246/31
ip 10.0.0.245,128.0.0.0/24
varese_FastEthernet0/0,10.0.0.210/31|10.0.0.210/32
venezia_FastEthernet0/0,10.0.1.24/32|10.0.1.24/31
verona_FastEthernet0/1,10.0.1.44/31|10.0.1.45/32
verona_FastEthernet0/0,10.0.1.52/32|10.0.1.52/31
vicenza_FastEthernet0/0,10.0.1.56/32|10.0.1.56/31
vienna_FastEthernet1/1,10.0.0.2/31|10.0.0.3/32
vienna_FastEthernet1/0,10.0.0.30/32|10.0.0.30/31
vienna_FastEthernet0/0,10.0.0.32/32|10.0.0.32/31
vienna_FastEthernet0/1,10.0.0.34/31|10.0.0.34/32
vienna_FastEthernet2/1,10.0.0.36/32|10.0.0.36/31
vienna_FastEthernet2/0,10.0.0.38/31|10.0.0.38/32
warsaw_FastEthernet0/1,10.0.0.23/32|10.0.0.22/31
warsaw_FastEthernet0/0,10.0.0.24/31|10.0.0.24/32
winterthur_FastEthernet0/0,10.0.0.101/32|10.0.0.100/31
winterthur_FastEthernet0/1,10.0.0.108/31|10.0.0.108/32
wuppertal_FastEthernet0/1,10.0.0.67/32|10.0.0.66/31
wuppertal_FastEthernet0/0,10.0.1.82/31|10.0.1.82/32
zug_FastEthernet0/0,10.0.0.186/31|10.0.0.187/32
zug_FastEthernet0/1,10.0.0.220/31|10.0.0.221/32
zurich_FastEthernet1/0,10.0.0.102/31|10.0.0.103/32
zurich_FastEthernet1/1,10.0.0.109/32|10.0.0.108/31
zurich_FastEthernet0/1,10.0.0.117/32|10.0.0.116/31
zurich_FastEthernet0/0,10.0.0.218/31|10.0.0.218/32
zurich_FastEthernet2/0,10.0.0.220/31|10.0.0.220/32
