Device,Interface,IP Address,Subnet Mask,Description
brussels,FastEthernet0/1,10.0.0.69,/31,"""To Antwerp"""
brussels,FastEthernet1/0,10.0.0.121,/31,"""To Charleroi"""
brussels,FastEthernet1/1,10.0.0.135,/31,"""To Evere"""
brussels,FastEthernet2/0,10.0.0.235,/31,"""To Ghent"""
brussels,FastEthernet2/1,10.0.1.61,/31,"""To Kortnijk"""
brussels,FastEthernet3/0,10.0.0.129,/31,"""To Leuven"""
brussels,FastEthernet3/1,10.0.0.123,/31,"""To Liege"""
brussels,FastEthernet4/0,10.0.1.95,/31,"""To London"""
brussels,FastEthernet4/1,10.0.0.133,/31,"""To Luxembourg"""
brussels,FastEthernet5/0,10.0.0.127,/31,"""To Mons"""
bucharest,FastEthernet0/0,10.0.1.35,/31,"""To Budapest"""
budapest,FastEthernet0/0,10.0.1.31,/31,"""To Bratislava"""
budapest,FastEthernet0/1,10.0.1.34,/31,"""To Bucharest"""
budapest,FastEthernet1/0,10.0.0.35,/31,"""To Vienna"""
cagliari,FastEthernet0/0,10.0.0.86,/31,"""To Rome"""
catania,FastEthernet0/0,10.0.0.74,/31,"""To Rome"""
charleroi,FastEthernet0/0,10.0.0.120,/31,"""To Brussels"""
chiasso,FastEthernet0/0,10.0.0.190,/31,"""To Como"""
chiasso,FastEthernet0/1,10.0.0.192,/31,"""To Lugano"""
chicago,FastEthernet0/0,10.0.0.91,/31,"""To Boston"""
cologne,FastEthernet0/0,10.0.0.46,/31,"""To Dusseldorf"""
cologne,FastEthernet0/1,10.0.0.48,/31,"""To Frankfurt"""
como,FastEthernet0/0,10.0.0.191,/31,"""To Chiasso"""
como,FastEthernet0/1,10.0.0.212,/31,"""To Milan"""
copenhagen,FastEthernet0/0,10.0.0.148,/31,"""To Aarhus"""
copenhagen,FastEthernet0/1,10.0.0.142,/31,"""To Gothenburg"""
copenhagen,FastEthernet1/0,10.0.0.144,/31,"""To Hamburg"""
copenhagen,FastEthernet1/1,10.0.0.146,/31,"""To Malmo"""
copenhagen,FastEthernet2/0,10.0.0.140,/31,"""To Stockholm"""
cuneo,FastEthernet0/0,10.0.1.18,/31,"""To Turin"""
denttbosch,FastEthernet0/0,10.0.0.137,/31,"""To Breda"""
denttbosch,FastEthernet0/1,10.0.0.131,/31,"""To Eindhoven"""
denttbosch,FastEthernet1/0,10.0.0.71,/31,"""To Rotterdam"""
denttbosch,FastEthernet1/1,10.0.0.138,/31,"""To Utrecht"""
dijon,FastEthernet0/0,10.0.1.69,/31,"""To Lyon"""
dortmund,FastEthernet0/0,10.0.1.84,/31,"""To Essen"""
dortmund,FastEthernet0/1,10.0.1.83,/31,"""To Wuppertal"""
dresden,FastEthernet0/0,10.0.0.16,/31,"""To Berlin"""
dresden,FastEthernet0/1,10.0.0.15,/31,"""To Leipzig"""
dresden,FastEthernet1/0,10.0.0.18,/31,"""To Prague"""
dublin,FastEthernet0/0,10.0.0.224,/31,"""To Bristol"""
dublin,FastEthernet0/1,10.0.0.222,/31,"""To London"""
dusseldorf,FastEthernet0/0,10.0.0.62,/31,"""To Amsterdam"""
dusseldorf,FastEthernet0/1,10.0.0.47,/31,"""To Cologne"""
dusseldorf,FastEthernet1/0,10.0.0.60,/31,"""To Essen"""
dusseldorf,FastEthernet1/1,10.0.0.64,/31,"""To Neuss"""
dusseldorf,FastEthernet2/0,10.0.0.66,/31,"""To Wuppertal"""
eindhoven,FastEthernet0/0,10.0.0.130,/31,"""To DenTTBosch"""
erding,FastEthernet0/0,10.0.0.28,/31,"""To Munich"""
essen,FastEthernet0/0,10.0.1.85,/31,"""To Dortmund"""
essen,FastEthernet0/1,10.0.0.61,/31,"""To Dusseldorf"""
essen,FastEthernet1/0,10.0.0.151,/31,"""To Hamburg"""
esslingen,FastEthernet0/0,10.0.0.106,/31,"""To Stuttgart"""
evere,FastEthernet0/0,10.0.0.134,/31,"""To Brussels"""
firenze,FastEthernet0/0,10.0.0.204,/31,"""To Bologna"""
firenze,FastEthernet0/1,10.0.0.199,/31,"""To Genova"""
firenze,FastEthernet1/0,10.0.0.202,/31,"""To Rome"""
frankfurt,FastEthernet0/0,10.0.0.49,/31,"""To Cologne"""
frankfurt,FastEthernet0/1,10.0.0.41,/31,"""To Mannheim"""
geneve,FastEthernet0/0,10.0.1.73,/31,"""To Lyon"""
geneve,FastEthernet0/1,10.0.0.119,/31,"""To Nyon"""
genova,FastEthernet0/0,10.0.0.198,/31,"""To Firenze"""
genova,FastEthernet0/1,10.0.0.196,/31,"""To Milan"""
ghent,FastEthernet0/0,10.0.0.234,/31,"""To Brussels"""
ghent,FastEthernet0/1,10.0.0.232,/31,"""To Lille"""
ghent,FastEthernet1/0,10.0.0.236,/31,"""To Ostend"""
gothenburg,FastEthernet0/0,10.0.0.143,/31,"""To Copenhagen"""
gothenburg,FastEthernet0/1,10.0.0.172,/31,"""To Oslo"""
graz,FastEthernet0/0,10.0.1.28,/31,"""To Klagenfurt"""
graz,FastEthernet0/1,10.0.0.31,/31,"""To Vienna"""
grenoble,FastEthernet0/0,10.0.1.4,/31,"""To Lyon"""
hamburg,FastEthernet0/0,10.0.0.152,/31,"""To Aarhus"""
hamburg,FastEthernet0/1,10.0.0.156,/31,"""To Bremen"""
hamburg,FastEthernet1/0,10.0.0.145,/31,"""To Copenhagen"""
hamburg,FastEthernet1/1,10.0.0.150,/31,"""To Essen"""
hamburg,FastEthernet2/0,10.0.0.57,/31,"""To Hannover"""
hamburg,FastEthernet2/1,10.0.0.154,/31,"""To Kolding"""
hamburg,FastEthernet3/0,10.0.0.9,/31,"""To Rostock"""
hannover,FastEthernet0/0,10.0.0.56,/31,"""To Hamburg"""
hannover,FastEthernet0/1,10.0.0.58,/31,"""To NodeID60"""
helsinki,FastEthernet0/0,10.0.0.169,/31,"""To Stockholm"""
hilversum,FastEthernet0/0,10.0.1.78,/31,"""To Amsterdam"""
hilversum,FastEthernet0/1,10.0.1.75,/31,"""To Utrecht"""
hoofddorp,FastEthernet0/0,10.0.1.80,/31,"""To Amsterdam"""
hoofddorp,FastEthernet0/1,10.0.0.55,/31,"""To TheTTHague"""
innsbruck,FastEthernet0/0,10.0.1.33,/31,"""To Salzburg"""
karlsruhe,FastEthernet0/0,10.0.0.43,/31,"""To Mannheim"""
karlsruhe,FastEthernet0/1,10.0.0.92,/31,"""To Strasbourg"""
karlsruhe,FastEthernet1/0,10.0.0.94,/31,"""To Stuttgart"""
klagenfurt,FastEthernet0/0,10.0.1.29,/31,"""To Graz"""
kolding,FastEthernet0/0,10.0.0.159,/31,"""To Aarhus"""
kolding,FastEthernet0/1,10.0.0.155,/31,"""To Hamburg"""
kortnijk,FastEthernet0/0,10.0.1.60,/31,"""To Brussels"""
krakov,FastEthernet0/0,10.0.0.20,/31,"""To Prague"""
krakov,FastEthernet0/1,10.0.0.22,/31,"""To Warsaw"""
lausanne,FastEthernet0/0,10.0.0.110,/31,"""To NodeID73"""
lausanne,FastEthernet0/1,10.0.0.112,/31,"""To Nyon"""
leipzig,FastEthernet0/0,10.0.0.14,/31,"""To Dresden"""
leipzig,FastEthernet0/1,10.0.0.12,/31,"""To Nuremberg"""
leuven,FastEthernet0/0,10.0.0.128,/31,"""To Brussels"""
liege,FastEthernet0/0,10.0.0.122,/31,"""To Brussels"""
lille,FastEthernet0/0,10.0.0.233,/31,"""To Ghent"""
lille,FastEthernet0/1,10.0.0.181,/31,"""To NodeID62"""
lille,FastEthernet1/0,10.0.1.58,/31,"""To Paris"""
linz,FastEthernet0/0,10.0.0.4,/31,"""To Salzburg"""
linz,FastEthernet0/1,10.0.0.0,/31,"""To StTTPollen"""
linz,FastEthernet1/0,10.0.0.2,/31,"""To Vienna"""
lisbon,FastEthernet0/0,10.0.0.78,/31,"""To Madrid"""
lisbon,FastEthernet0/1,10.0.0.77,/31,"""To Porto"""
lisbon,FastEthernet1/0,10.0.0.73,/31,"""To Sintra"""
livorno,FastEthernet0/0,10.0.0.200,/31,"""To Milan"""
london,FastEthernet0/0,10.0.0.89,/31,"""To Boston"""
london,FastEthernet0/1,10.0.1.94,/31,"""To Brussels"""
london,FastEthernet1/0,10.0.0.223,/31,"""To Dublin"""
london,FastEthernet1/1,10.0.0.227,/31,"""To Manchester"""
london,FastEthernet2/0,10.0.0.167,/31,"""To NewTTYork"""
london,FastEthernet2/1,10.0.0.163,/31,"""To Newark"""
london,FastEthernet3/0,10.0.0.183,/31,"""To NodeID62"""
london,FastEthernet3/1,10.0.1.21,/31,"""To Reading"""
lucerne,FastEthernet0/0,10.0.0.188,/31,"""To Lugano"""
lucerne,FastEthernet0/1,10.0.0.186,/31,"""To Zug"""
lugano,FastEthernet0/0,10.0.0.193,/31,"""To Chiasso"""
lugano,FastEthernet0/1,10.0.0.189,/31,"""To Lucerne"""
luxembourg,FastEthernet0/0,10.0.0.132,/31,"""To Brussels"""
lyon,FastEthernet0/0,10.0.1.68,/31,"""To Dijon"""
lyon,FastEthernet0/1,10.0.1.72,/31,"""To Geneve"""
lyon,FastEthernet1/0,10.0.1.5,/31,"""To Grenoble"""
lyon,FastEthernet1/1,10.0.1.1,/31,"""To Marseille"""
lyon,FastEthernet2/0,10.0.1.70,/31,"""To Paris"""
madrid,FastEthernet0/0,10.0.1.11,/31,"""To Bordeaux"""
madrid,FastEthernet0/1,10.0.0.79,/31,"""To Lisbon"""
madrid,FastEthernet1/0,10.0.0.247,/31,"""To Valencia"""
magdemburg,FastEthernet0/0,10.0.0.175,/31,"""To NodeID60"""
malmo,FastEthernet0/0,10.0.0.147,/31,"""To Copenhagen"""
manchester,FastEthernet0/0,10.0.0.228,/31,"""To Birmingham"""
manchester,FastEthernet0/1,10.0.0.226,/31,"""To London"""
mannheim,FastEthernet0/0,10.0.0.40,/31,"""To Frankfurt"""
mannheim,FastEthernet0/1,10.0.0.42,/31,"""To Karlsruhe"""
marseille,FastEthernet0/0,10.0.1.0,/31,"""To Lyon"""
marseille,FastEthernet0/1,10.0.1.2,/31,"""To Montpellier"""
marseille,FastEthernet1/0,10.0.0.252,/31,"""To Nice"""
marseille,FastEthernet1/1,10.0.0.254,/31,"""To Turin"""
milan,FastEthernet0/0,10.0.1.49,/31,"""To Bergamo"""
milan,FastEthernet0/1,10.0.1.17,/31,"""To Biella"""
milan,FastEthernet1/0,10.0.1.13,/31,"""To Borgomanero"""
milan,FastEthernet1/1,10.0.0.213,/31,"""To Como"""
milan,FastEthernet2/0,10.0.0.197,/31,"""To Genova"""
milan,FastEthernet2/1,10.0.0.201,/31,"""To Livorno"""
milan,FastEthernet3/0,10.0.1.51,/31,"""To Monza"""
milan,FastEthernet3/1,10.0.1.15,/31,"""To Novara"""
milan,FastEthernet4/0,10.0.0.209,/31,"""To Parma"""
milan,FastEthernet4/1,10.0.0.195,/31,"""To Piacenza"""
milan,FastEthernet5/0,10.0.1.43,/31,"""To ReggioTTEmilia"""
milan,FastEthernet5/1,10.0.0.207,/31,"""To Rimini"""
milan,FastEthernet6/0,10.0.1.37,/31,"""To Trento"""
milan,FastEthernet6/1,10.0.1.27,/31,"""To Treviso"""
milan,FastEthernet7/0,10.0.1.55,/31,"""To Trieste"""
milan,FastEthernet7/1,10.0.1.89,/31,"""To Turin"""
milan,FastEthernet8/0,10.0.0.211,/31,"""To Varese"""
milan,FastEthernet8/1,10.0.1.57,/31,"""To Vicenza"""
modena,FastEthernet0/0,10.0.1.40,/31,"""To Bologna"""
modena,FastEthernet0/1,10.0.1.38,/31,"""To ReggioTTEmilia"""
mons,FastEthernet0/0,10.0.0.126,/31,"""To Brussels"""
montpellier,FastEthernet0/0,10.0.1.3,/31,"""To Marseille"""
montpellier,FastEthernet0/1,10.0.0.243,/31,"""To NodeID79"""
monza,FastEthernet0/0,10.0.1.50,/31,"""To Milan"""
munich,FastEthernet0/0,10.0.0.29,/31,"""To Erding"""
munich,FastEthernet0/1,10.0.0.27,/31,"""To Nuremberg"""
munich,FastEthernet1/0,10.0.0.44,/31,"""To Stuttgart"""
munich,FastEthernet1/1,10.0.0.39,/31,"""To Vienna"""
nantes,FastEthernet0/0,10.0.1.7,/31,"""To Bordeaux"""
nantes,FastEthernet0/1,10.0.1.66,/31,"""To Rennes"""
napoli,FastEthernet0/0,10.0.0.251,/31,"""To Rome"""
neuss,FastEthernet0/0,10.0.0.65,/31,"""To Dusseldorf"""
newark,FastEthernet0/0,10.0.0.162,/31,"""To London"""
newark,FastEthernet0/1,10.0.0.164,/31,"""To NewTTYork"""
newark,FastEthernet1/0,10.0.0.160,/31,"""To Paris"""
newttyork,FastEthernet0/0,10.0.0.166,/31,"""To London"""
newttyork,FastEthernet0/1,10.0.0.165,/31,"""To Newark"""
nice,FastEthernet0/0,10.0.0.253,/31,"""To Marseille"""
nodeid60,FastEthernet0/0,10.0.0.176,/31,"""To Berlin"""
nodeid60,FastEthernet0/1,10.0.0.59,/31,"""To Hannover"""
nodeid60,FastEthernet1/0,10.0.0.174,/31,"""To Magdemburg"""
nodeid62,FastEthernet0/0,10.0.0.180,/31,"""To Lille"""
nodeid62,FastEthernet0/1,10.0.0.182,/31,"""To London"""
nodeid62,FastEthernet1/0,10.0.0.184,/31,"""To Ostend"""
nodeid73,FastEthernet0/0,10.0.0.216,/31,"""To Basel"""
nodeid73,FastEthernet0/1,10.0.0.214,/31,"""To Bern"""
nodeid73,FastEthernet1/0,10.0.0.115,/31,"""To Biel_Bienne"""
nodeid73,FastEthernet1/1,10.0.0.111,/31,"""To Lausanne"""
nodeid79,FastEthernet0/0,10.0.0.238,/31,"""To Barcelona"""
nodeid79,FastEthernet0/1,10.0.0.242,/31,"""To Montpellier"""
nodeid79,FastEthernet1/0,10.0.0.240,/31,"""To Toulouse"""
novara,FastEthernet0/0,10.0.1.14,/31,"""To Milan"""
nuremberg,FastEthernet0/0,10.0.0.13,/31,"""To Leipzig"""
nuremberg,FastEthernet0/1,10.0.0.26,/31,"""To Munich"""
nyon,FastEthernet0/0,10.0.0.118,/31,"""To Geneve"""
nyon,FastEthernet0/1,10.0.0.113,/31,"""To Lausanne"""
oslo,FastEthernet0/0,10.0.0.173,/31,"""To Gothenburg"""
oslo,FastEthernet0/1,10.0.0.171,/31,"""To Stockholm"""
ostend,FastEthernet0/0,10.0.0.237,/31,"""To Ghent"""
ostend,FastEthernet0/1,10.0.0.185,/31,"""To NodeID62"""
padova,FastEthernet0/0,10.0.0.249,/31,"""To Rome"""
padova,FastEthernet0/1,10.0.1.25,/31,"""To Venezia"""
padova,FastEthernet1/0,10.0.1.44,/31,"""To Verona"""
palermo,FastEthernet0/0,10.0.0.84,/31,"""To Rome"""
paris,FastEthernet0/0,10.0.1.59,/31,"""To Lille"""
paris,FastEthernet0/1,10.0.1.71,/31,"""To Lyon"""
paris,FastEthernet1/0,10.0.0.161,/31,"""To Newark"""
paris,FastEthernet1/1,10.0.1.92,/31,"""To Rouen"""
paris,FastEthernet2/0,10.0.1.65,/31,"""To Strasbourg"""
paris,FastEthernet2/1,10.0.1.90,/31,"""To Tours"""
parma,FastEthernet0/0,10.0.0.208,/31,"""To Milan"""
peerbarcelona_0,FastEthernet0/0,10.0.1.87,/31,"""To Barcelona"""
peerbarcelona_0,Loopback0,128.0.0.1,/24,"""For P_PeerBarcelona_0"""
pfaffikon,FastEthernet0/0,10.0.0.98,/31,"""To StTTGallen"""
pfaffikon,FastEthernet0/1,10.0.0.100,/31,"""To Winterthur"""
piacenza,FastEthernet0/0,10.0.0.194,/31,"""To Milan"""
poitiers,FastEthernet0/0,10.0.1.97,/31,"""To Tours"""
porto,FastEthernet0/0,10.0.0.76,/31,"""To Lisbon"""
potsdam,FastEthernet0/0,10.0.0.10,/31,"""To Berlin"""
prague,FastEthernet0/0,10.0.0.19,/31,"""To Dresden"""
prague,FastEthernet0/1,10.0.0.21,/31,"""To Krakov"""
prague,FastEthernet1/0,10.0.0.37,/31,"""To Vienna"""
reading,FastEthernet0/0,10.0.1.22,/31,"""To Bristol"""
reading,FastEthernet0/1,10.0.1.20,/31,"""To London"""
reggiottemilia,FastEthernet0/0,10.0.1.42,/31,"""To Milan"""
reggiottemilia,FastEthernet0/1,10.0.1.39,/31,"""To Modena"""
rennes,FastEthernet0/0,10.0.1.67,/31,"""To Nantes"""
rennes,FastEthernet0/1,10.0.1.98,/31,"""To Rouen"""
rimini,FastEthernet0/0,10.0.0.206,/31,"""To Milan"""
rome,FastEthernet0/0,10.0.0.83,/31,"""To Bari"""
rome,FastEthernet0/1,10.0.0.179,/31,"""To Brindisi"""
rome,FastEthernet1/0,10.0.0.87,/31,"""To Cagliari"""
rome,FastEthernet1/1,10.0.0.75,/31,"""To Catania"""
rome,FastEthernet2/0,10.0.0.203,/31,"""To Firenze"""
rome,FastEthernet2/1,10.0.0.250,/31,"""To Napoli"""
rome,FastEthernet3/0,10.0.0.248,/31,"""To Padova"""
rome,FastEthernet3/1,10.0.0.85,/31,"""To Palermo"""
rome,FastEthernet4/0,10.0.0.81,/31,"""To Sassari"""
rostock,FastEthernet0/0,10.0.0.6,/31,"""To Berlin"""
rostock,FastEthernet0/1,10.0.0.8,/31,"""To Hamburg"""
rotterdam,FastEthernet0/0,10.0.0.70,/31,"""To DenTTBosch"""
rotterdam,FastEthernet0/1,10.0.0.53,/31,"""To TheTTHague"""
rouen,FastEthernet0/0,10.0.1.93,/31,"""To Paris"""
rouen,FastEthernet0/1,10.0.1.99,/31,"""To Rennes"""
salzburg,FastEthernet0/0,10.0.1.32,/31,"""To Innsbruck"""
salzburg,FastEthernet0/1,10.0.0.5,/31,"""To Linz"""
sassari,FastEthernet0/0,10.0.0.80,/31,"""To Rome"""
schaffhausen,FastEthernet0/0,10.0.0.105,/31,"""To StTTGallen"""
schaffhausen,FastEthernet0/1,10.0.0.116,/31,"""To Zurich"""
sintra,FastEthernet0/0,10.0.0.72,/31,"""To Lisbon"""
stockholm,FastEthernet0/0,10.0.0.141,/31,"""To Copenhagen"""
stockholm,FastEthernet0/1,10.0.0.168,/31,"""To Helsinki"""
stockholm,FastEthernet1/0,10.0.0.170,/31,"""To Oslo"""
strasbourg,FastEthernet0/0,10.0.1.63,/31,"""To Basel"""
strasbourg,FastEthernet0/1,10.0.0.93,/31,"""To Karlsruhe"""
strasbourg,FastEthernet1/0,10.0.1.64,/31,"""To Paris"""
stttgallen,FastEthernet0/0,10.0.0.99,/31,"""To Pfaffikon"""
stttgallen,FastEthernet0/1,10.0.0.104,/31,"""To Schaffhausen"""
stttgallen,FastEthernet1/0,10.0.0.102,/31,"""To Zurich"""
stttpollen,FastEthernet0/0,10.0.0.1,/31,"""To Linz"""
stuttgart,FastEthernet0/0,10.0.0.97,/31,"""To Boblingen"""
stuttgart,FastEthernet0/1,10.0.0.107,/31,"""To Esslingen"""
stuttgart,FastEthernet1/0,10.0.0.95,/31,"""To Karlsruhe"""
stuttgart,FastEthernet1/1,10.0.0.45,/31,"""To Munich"""
thetthague,FastEthernet0/0,10.0.0.50,/31,"""To Antwerp"""
thetthague,FastEthernet0/1,10.0.0.54,/31,"""To Hoofddorp"""
thetthague,FastEthernet1/0,10.0.0.52,/31,"""To Rotterdam"""
toulouse,FastEthernet0/0,10.0.1.9,/31,"""To Bordeaux"""
toulouse,FastEthernet0/1,10.0.0.241,/31,"""To NodeID79"""
tours,FastEthernet0/0,10.0.1.91,/31,"""To Paris"""
tours,FastEthernet0/1,10.0.1.96,/31,"""To Poitiers"""
trento,FastEthernet0/0,10.0.1.36,/31,"""To Milan"""
treviso,FastEthernet0/0,10.0.1.26,/31,"""To Milan"""
trieste,FastEthernet0/0,10.0.1.54,/31,"""To Milan"""
turin,FastEthernet0/0,10.0.1.19,/31,"""To Cuneo"""
turin,FastEthernet0/1,10.0.0.255,/31,"""To Marseille"""
turin,FastEthernet1/0,10.0.1.88,/31,"""To Milan"""
utrecht,FastEthernet0/0,10.0.0.139,/31,"""To DenTTBosch"""
utrecht,FastEthernet0/1,10.0.1.74,/31,"""To Hilversum"""
valencia,FastEthernet0/0,10.0.0.244,/31,"""To Barcelona"""
valencia,FastEthernet0/1,10.0.0.246,/31,"""To Madrid"""
varese,FastEthernet0/0,10.0.0.210,/31,"""To Milan"""
venezia,FastEthernet0/0,10.0.1.24,/31,"""To Padova"""
verona,FastEthernet0/0,10.0.1.52,/31,"""To Brescia"""
verona,FastEthernet0/1,10.0.1.45,/31,"""To Padova"""
vicenza,FastEthernet0/0,10.0.1.56,/31,"""To Milan"""
vienna,FastEthernet0/0,10.0.0.32,/31,"""To Bratislava"""
vienna,FastEthernet0/1,10.0.0.34,/31,"""To Budapest"""
vienna,FastEthernet1/0,10.0.0.30,/31,"""To Graz"""
vienna,FastEthernet1/1,10.0.0.3,/31,"""To Linz"""
vienna,FastEthernet2/0,10.0.0.38,/31,"""To Munich"""
vienna,FastEthernet2/1,10.0.0.36,/31,"""To Prague"""
warsaw,FastEthernet0/0,10.0.0.24,/31,"""To Berlin"""
warsaw,FastEthernet0/1,10.0.0.23,/31,"""To Krakov"""
winterthur,FastEthernet0/0,10.0.0.101,/31,"""To Pfaffikon"""
winterthur,FastEthernet0/1,10.0.0.108,/31,"""To Zurich"""
wuppertal,FastEthernet0/0,10.0.1.82,/31,"""To Dortmund"""
wuppertal,FastEthernet0/1,10.0.0.67,/31,"""To Dusseldorf"""
zug,FastEthernet0/0,10.0.0.187,/31,"""To Lucerne"""
zug,FastEthernet0/1,10.0.0.221,/31,"""To Zurich"""
zurich,FastEthernet0/0,10.0.0.218,/31,"""To Basel"""
zurich,FastEthernet0/1,10.0.0.117,/31,"""To Schaffhausen"""
zurich,FastEthernet1/0,10.0.0.103,/31,"""To StTTGallen"""
zurich,FastEthernet1/1,10.0.0.109,/31,"""To Winterthur"""
zurich,FastEthernet2/0,10.0.0.220,/31,"""To Zug"""
