Equivalence_Class,Source,Destination
madrid_FastEthernet0/1,madrid,Lisbon
madrid_FastEthernet1/0,madrid,Valencia
madrid_FastEthernet0/0,madrid,Bordeaux
malmo_FastEthernet0/0,malmo,Copenhagen
manchester_FastEthernet0/1,manchester,London
manchester_FastEthernet0/0,manchester,Birmingham
mannheim_FastEthernet0/0,mannheim,Frankfurt
mannheim_FastEthernet0/1,mannheim,Karlsruhe
marseille_FastEthernet1/0,marseille,Nice
marseille_FastEthernet1/1,marseille,Turin
marseille_FastEthernet0/0,marseille,Lyon
marseille_FastEthernet0/1,marseille,Montpellier
milan_FastEthernet4/1,milan,Piacenza
milan_FastEthernet2/0,milan,Genova
milan_FastEthernet2/1,milan,Livorno
milan_FastEthernet5/1,milan,Rimini
milan_FastEthernet4/0,milan,Parma
milan_FastEthernet8/0,milan,Varese
milan_FastEthernet1/1,milan,Como
milan_FastEthernet1/0,milan,Borgomanero
milan_FastEthernet3/1,milan,Novara
milan_FastEthernet0/1,milan,Biella
milan_FastEthernet6/1,milan,Treviso
milan_FastEthernet6/0,milan,Trento
milan_FastEthernet0/0,milan,Bergamo
milan_FastEthernet3/0,milan,Monza
milan_FastEthernet7/0,milan,Trieste
milan_FastEthernet8/1,milan,Vicenza
milan_FastEthernet7/1,milan,Turin
modena_FastEthernet0/0,modena,Bologna
mons_FastEthernet0/0,mons,Brussels
montpellier_FastEthernet0/0,montpellier,Marseille
monza_FastEthernet0/0,monza,Milan
munich_FastEthernet0/1,munich,Nuremberg
munich_FastEthernet0/0,munich,Erding
munich_FastEthernet1/1,munich,Vienna
munich_FastEthernet1/0,munich,Stuttgart
nantes_FastEthernet0/0,nantes,Bordeaux
nantes_FastEthernet0/1,nantes,Rennes
napoli_FastEthernet0/0,napoli,Rome
neuss_FastEthernet0/0,neuss,Dusseldorf
newark_FastEthernet1/0,newark,Paris
newark_FastEthernet0/0,newark,London
newttyork_FastEthernet0/1,newttyork,Newark
newttyork_FastEthernet0/0,newttyork,London
nice_FastEthernet0/0,nice,Marseille
nodeid60_FastEthernet0/1,nodeid60,Hannover
nodeid60_FastEthernet1/0,nodeid60,Magdemburg
nodeid60_FastEthernet0/0,nodeid60,Berlin
nodeid62_FastEthernet0/0,nodeid62,Lille
nodeid62_FastEthernet0/1,nodeid62,London
nodeid62_FastEthernet1/0,nodeid62,Ostend
nodeid73_FastEthernet1/1,nodeid73,Lausanne
nodeid73_FastEthernet0/1,nodeid73,Bern
nodeid73_FastEthernet0/0,nodeid73,Basel
nodeid79_FastEthernet0/0,nodeid79,Barcelona
nodeid79_FastEthernet1/0,nodeid79,Toulouse
nodeid79_FastEthernet0/1,nodeid79,Montpellier
novara_FastEthernet0/0,novara,Milan
nuremberg_FastEthernet0/0,nuremberg,Leipzig
nuremberg_FastEthernet0/1,nuremberg,Munich
nyon_FastEthernet0/1,nyon,Lausanne
nyon_FastEthernet0/0,nyon,Geneve
oslo_FastEthernet0/1,oslo,Stockholm
oslo_FastEthernet0/0,oslo,Gothenburg
ostend_FastEthernet0/0,ostend,Ghent
padova_FastEthernet0/0,padova,Rome
padova_FastEthernet0/1,padova,Venezia
padova_FastEthernet1/0,padova,Verona
palermo_FastEthernet0/0,palermo,Rome
paris_FastEthernet1/0,paris,Newark
paris_FastEthernet0/0,paris,Lille
paris_FastEthernet2/0,paris,Strasbourg
paris_FastEthernet0/1,paris,Lyon
paris_FastEthernet2/1,paris,Tours
paris_FastEthernet1/1,paris,Rouen
parma_FastEthernet0/0,parma,Milan
peerbarcelona_0_FastEthernet0/0,peerbarcelona,Barcelona
pfaffikon_FastEthernet0/1,pfaffikon,Winterthur
piacenza_FastEthernet0/0,piacenza,Milan
poitiers_FastEthernet0/0,poitiers,Tours
porto_FastEthernet0/0,porto,Lisbon
potsdam_FastEthernet0/0,potsdam,Berlin
prague_FastEthernet0/0,prague,Dresden
prague_FastEthernet0/1,prague,Krakov
prague_FastEthernet1/0,prague,Vienna
reading_FastEthernet0/1,reading,London
reading_FastEthernet0/0,reading,Bristol
reggiottemilia_FastEthernet0/1,reggiottemilia,Modena
reggiottemilia_FastEthernet0/0,reggiottemilia,Milan
rennes_FastEthernet0/0,rennes,Nantes
rennes_FastEthernet0/1,rennes,Rouen
rimini_FastEthernet0/0,rimini,Milan
rome_FastEthernet1/1,rome,Catania
rome_FastEthernet4/0,rome,Sassari
rome_FastEthernet0/0,rome,Bari
rome_FastEthernet3/1,rome,Palermo
rome_FastEthernet1/0,rome,Cagliari
rome_FastEthernet0/1,rome,Brindisi
rome_FastEthernet2/0,rome,Firenze
rome_FastEthernet3/0,rome,Padova
rome_FastEthernet2/1,rome,Napoli
rostock_FastEthernet0/0,rostock,Berlin
rostock_FastEthernet0/1,rostock,Hamburg
rouen_FastEthernet0/0,rouen,Paris
rouen_FastEthernet0/1,rouen,Rennes
salzburg_FastEthernet0/1,salzburg,Linz
salzburg_FastEthernet0/0,salzburg,Innsbruck
sassari_FastEthernet0/0,sassari,Rome
schaffhausen_FastEthernet0/1,schaffhausen,Zurich
sintra_FastEthernet0/0,sintra,Lisbon
stockholm_FastEthernet0/0,stockholm,Copenhagen
stockholm_FastEthernet0/1,stockholm,Helsinki
stockholm_FastEthernet1/0,stockholm,Oslo
strasbourg_FastEthernet0/1,strasbourg,Karlsruhe
strasbourg_FastEthernet0/0,strasbourg,Basel
strasbourg_FastEthernet1/0,strasbourg,Paris
stttgallen_FastEthernet0/0,stttgallen,Pfaffikon
stttgallen_FastEthernet1/0,stttgallen,Zurich
stttgallen_FastEthernet0/1,stttgallen,Schaffhausen
stttpollen_FastEthernet0/0,stttpollen,Linz
stuttgart_FastEthernet1/1,stuttgart,Munich
stuttgart_FastEthernet1/0,stuttgart,Karlsruhe
stuttgart_FastEthernet0/0,stuttgart,Boblingen
stuttgart_FastEthernet0/1,stuttgart,Esslingen
thetthague_FastEthernet0/0,thetthague,Antwerp
thetthague_FastEthernet1/0,thetthague,Rotterdam
thetthague_FastEthernet0/1,thetthague,Hoofddorp
toulouse_FastEthernet0/0,toulouse,Bordeaux
tours_FastEthernet0/0,tours,Paris
tours_FastEthernet0/1,tours,Poitiers
trento_FastEthernet0/0,trento,Milan
treviso_FastEthernet0/0,treviso,Milan
trieste_FastEthernet0/0,trieste,Milan
turin_FastEthernet0/1,turin,Marseille
turin_FastEthernet0/0,turin,Cuneo
turin_FastEthernet1/0,turin,Milan
utrecht_FastEthernet0/1,utrecht,Hilversum
valencia_FastEthernet0/0,valencia,Barcelona
valencia_FastEthernet0/1,valencia,Madrid
varese_FastEthernet0/0,varese,Milan
venezia_FastEthernet0/0,venezia,Padova
verona_FastEthernet0/1,verona,Padova
verona_FastEthernet0/0,verona,Brescia
vicenza_FastEthernet0/0,vicenza,Milan
vienna_FastEthernet1/1,vienna,Linz
vienna_FastEthernet1/0,vienna,Graz
vienna_FastEthernet0/0,vienna,Bratislava
vienna_FastEthernet0/1,vienna,Budapest
vienna_FastEthernet2/1,vienna,Prague
vienna_FastEthernet2/0,vienna,Munich
warsaw_FastEthernet0/1,warsaw,Krakov
warsaw_FastEthernet0/0,warsaw,Berlin
winterthur_FastEthernet0/0,winterthur,Pfaffikon
winterthur_FastEthernet0/1,winterthur,Zurich
wuppertal_FastEthernet0/1,wuppertal,Dusseldorf
wuppertal_FastEthernet0/0,wuppertal,Dortmund
zug_FastEthernet0/0,zug,Lucerne
zug_FastEthernet0/1,zug,Zurich
zurich_FastEthernet1/1,zurich,Winterthur
zurich_FastEthernet0/1,zurich,Schaffhausen
zurich_FastEthernet0/0,zurich,Basel
zurich_FastEthernet2/0,zurich,Zug
