节点介数中心性：
设备: Aarhus, 介数中心性: 0.0003
设备: Rotterdam, 介数中心性: 0.0331
设备: Utrecht, 介数中心性: 0.0127
设备: Dijon, 介数中心性: 0.0000
设备: Lyon, 介数中心性: 0.3867
设备: Dortmund, 介数中心性: 0.0013
设备: Essen, 介数中心性: 0.1474
设备: Wuppertal, 介数中心性: 0.0051
设备: Leipzig, 介数中心性: 0.0262
设备: Prague, 介数中心性: 0.0652
设备: Neuss, 介数中心性: 0.0000
设备: Erding, 介数中心性: 0.0000
设备: Munich, 介数中心性: 0.1997
设备: Esslingen, 介数中心性: 0.0000
设备: Genova, 介数中心性: 0.1238
设备: Mannheim, 介数中心性: 0.1487
设备: Geneve, 介数中心性: 0.0214
设备: Nyon, 介数中心性: 0.0122
设备: Lille, 介数中心性: 0.0948
设备: Ostend, 介数中心性: 0.0000
设备: Oslo, 介数中心性: 0.0001
设备: Graz, 介数中心性: 0.0131
设备: Klagenfurt, 介数中心性: 0.0000
设备: Grenoble, 介数中心性: 0.0000
设备: Hannover, 介数中心性: 0.0084
设备: Helsinki, 介数中心性: 0.0000
设备: Innsbruck, 介数中心性: 0.0000
设备: Salzburg, 介数中心性: 0.0131
设备: Karlsruhe, 介数中心性: 0.3662
设备: Krakov, 介数中心性: 0.0091
设备: Lausanne, 介数中心性: 0.0094
设备: Nuremberg, 介数中心性: 0.0335
设备: Nodeid62, 介数中心性: 0.0059
设备: Paris, 介数中心性: 0.5425
设备: Linz, 介数中心性: 0.0389
设备: Stttpollen, 介数中心性: 0.0000
设备: Lisbon, 介数中心性: 0.0261
设备: Porto, 介数中心性: 0.0000
设备: Sintra, 介数中心性: 0.0000
设备: Livorno, 介数中心性: 0.0000
设备: Newark, 介数中心性: 0.1462
设备: Newttyork, 介数中心性: 0.0000
设备: Lucerne, 介数中心性: 0.0313
设备: Zug, 介数中心性: 0.0374
设备: Marseille, 介数中心性: 0.3904
设备: Magdemburg, 介数中心性: 0.0000
设备: Montpellier, 介数中心性: 0.0723
设备: Nice, 介数中心性: 0.0000
设备: Monza, 介数中心性: 0.0000
设备: Novara, 介数中心性: 0.0000
设备: Parma, 介数中心性: 0.0000
设备: Piacenza, 介数中心性: 0.0000
设备: Reggiottemilia, 介数中心性: 0.0179
设备: Rimini, 介数中心性: 0.0000
设备: Trento, 介数中心性: 0.0000
设备: Treviso, 介数中心性: 0.0000
设备: Trieste, 介数中心性: 0.0000
设备: Varese, 介数中心性: 0.0000
设备: Vicenza, 介数中心性: 0.0000
设备: Rennes, 介数中心性: 0.0611
设备: Napoli, 介数中心性: 0.0000
设备: Padova, 介数中心性: 0.0151
设备: Venezia, 介数中心性: 0.0000
设备: Palermo, 介数中心性: 0.0000
设备: Rouen, 介数中心性: 0.0724
设备: Tours, 介数中心性: 0.0131
设备: Pfaffikon, 介数中心性: 0.0000
设备: Stttgallen, 介数中心性: 0.0065
设备: Winterthur, 介数中心性: 0.0064
设备: Poitiers, 介数中心性: 0.0000
设备: Sassari, 介数中心性: 0.0000
设备: Schaffhausen, 介数中心性: 0.0000
