Next_Hop,Networks
uiottstttolavsplasstt5_FastEthernet3/1,10.0.0.15/32|10.0.0.14/31
uiottstttolavsplasstt5_FastEthernet0/1,10.0.0.24/31|10.0.0.25/32
uiottstttolavsplasstt5_FastEthernet0/0,10.0.0.28/31|10.0.0.28/32
uiottstttolavsplasstt5_FastEthernet1/0,10.0.0.30/32|10.0.0.30/31
uiottstttolavsplasstt5_FastEthernet2/0,10.0.0.32/32|10.0.0.32/31
uiottstttolavsplasstt5_FastEthernet2/1,10.0.0.34/32|10.0.0.34/31
uiottstttolavsplasstt5_FastEthernet1/1,10.0.0.36/31|10.0.0.36/32
uisttstavanger_FastEthernet1/1,10.0.0.102/31|10.0.0.102/32
uisttstavanger_FastEthernet0/0,10.0.0.104/31|10.0.0.104/32
uisttstavanger_FastEthernet0/1,10.0.0.106/31|10.0.0.106/32
uisttstavanger_FastEthernet1/0,10.0.0.108/32|10.0.0.108/31
uito_FastEthernet0/1,10.0.0.76/31|10.0.0.77/32
uito_FastEthernet0/0,10.0.0.88/32|10.0.0.88/31
uito_FastEthernet1/0,10.0.0.90/32|10.0.0.90/31
uitoid43_FastEthernet0/1,10.0.0.81/32|10.0.0.80/31
uitoid43_FastEthernet1/1,10.0.0.90/31|10.0.0.91/32
uitoid43_FastEthernet0/0,10.0.0.156/31|10.0.0.156/32
uitoid43_FastEthernet1/0,10.0.0.158/32|10.0.0.158/31
uitottkarasjok_FastEthernet0/1,10.0.0.84/32|10.0.0.84/31
uitottkarasjok_FastEthernet0/0,10.0.0.86/32|10.0.0.86/31
umbttas_FastEthernet0/1,10.0.0.7/32|10.0.0.6/31
umbttas_FastEthernet0/0,10.0.0.166/31|10.0.0.166/32
unikttkjeller_FastEthernet0/1,10.0.0.17/32|10.0.0.16/31
unikttkjeller_FastEthernet0/0,10.0.0.46/31|10.0.0.46/32
uninettttteknobyen_FastEthernet0/1,10.0.0.150/31|10.0.0.151/32
uninettttteknobyen_FastEthernet1/0,10.0.0.184/31|10.0.0.185/32
uninettttteknobyen_FastEthernet1/1,10.0.0.186/31|10.0.0.187/32
uninettttteknobyen_FastEthernet0/0,10.0.0.188/31|10.0.0.188/32
unisttsvalbard_FastEthernet0/0,10.0.0.79/32|10.0.0.78/31
unisttsvalbard_FastEthernet0/1,10.0.0.140/31|10.0.0.141/32
vethsttsandnes_FastEthernet0/0,10.0.0.103/32|10.0.0.102/31
