,Hbottbodo,Hbottmottittrana,Hhttelverum,Hhttevenstad,Hhtthamar,Hhttkongsvinger,Hhttrena,Hhtttynset,Hiakttkjeller,Hiattalesund,Hibuttdrammen,Hibutthonefoss,Hibuttkongsberg,Hifttalta,Hiftthammerfest,Hifttkirkenes,Hifttvadso,Higttgjovik,Hihttharstad,Hilttlillehammer,Hinettmottittrana,Hinettnesna,Hinettsandnesjoen,Hingttstjordal,Hinttnarvik,Hintttlevanger,Hintttnamsos,Hintttsteinkjer,Hiottfredrikstad,Hiotthalden,Hitttbo,Hitttnotodden,Hitttporsgrunn,Hitttrauland,Hsfttforde,Hsfttsandane,Hsfttsongdal,Hshtthaugesund,Hshttstord,Hsmttkristiansun,Hsmttmolde,Hvettborre,Hvettlarvik,Hvottvolda,Nbttmottittrana,Nordunetttkobenhavn,Nordunetttstockholm,Nordunetttstockholmid58,Ntnutthovedbygget,Ntnuttrealfagbygget,Nyalesund,Peerhingttstjordal_0,Sa_shttkautokeino,Stockholm,Uiattgrimstad,Uiattkristiansand,Uibttbt,Uibtthoyteklogibygget,Uio,Uioid1,Uiottstttolavsplasstt5,Uisttstavanger,Uito,Uitoid43,Uitottkarasjok,Umbttas,Unikttkjeller,Uninettttteknobyen,Unisttsvalbard,Vethsttsandnes,d_in,d_out,CB,EC
Hifttalta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0.0706,"[{'Next_Hop': 'hifttalta_FastEthernet0/1', 'Networks': '10.0.0.136/31|10.0.0.137/32'}, {'Next_Hop': 'hifttalta_FastEthernet0/0', 'Networks': '10.0.0.152/31|10.0.0.153/32'}, {'Next_Hop': 'hifttalta_FastEthernet1/0', 'Networks': '10.0.0.157/32|10.0.0.156/31'}]"
Hiftthammerfest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0.054,"[{'Next_Hop': 'hiftthammerfest_FastEthernet1/0', 'Networks': '10.0.0.89/32|10.0.0.88/31'}, {'Next_Hop': 'hiftthammerfest_FastEthernet0/0', 'Networks': '10.0.0.152/31|10.0.0.152/32'}, {'Next_Hop': 'hiftthammerfest_FastEthernet0/1', 'Networks': '10.0.0.154/31|10.0.0.154/32'}]"
Hifttkirkenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0.0013,"[{'Next_Hop': 'hifttkirkenes_FastEthernet0/1', 'Networks': '10.0.0.86/31|10.0.0.87/32'}, {'Next_Hop': 'hifttkirkenes_FastEthernet0/0', 'Networks': '10.0.0.138/32|10.0.0.138/31'}]"
Hifttvadso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0252,"[{'Next_Hop': 'hifttvadso_FastEthernet0/1', 'Networks': '10.0.0.139/32|10.0.0.138/31'}, {'Next_Hop': 'hifttvadso_FastEthernet0/0', 'Networks': '10.0.0.154/31|10.0.0.155/32'}]"
Higttgjovik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.0458,"[{'Next_Hop': 'higttgjovik_FastEthernet0/1', 'Networks': '10.0.0.24/31|10.0.0.24/32'}, {'Next_Hop': 'higttgjovik_FastEthernet0/0', 'Networks': '10.0.0.26/31|10.0.0.26/32'}]"
Hihttharstad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,0.0612,"[{'Next_Hop': 'hihttharstad_FastEthernet0/1', 'Networks': '10.0.0.72/31|10.0.0.73/32'}, {'Next_Hop': 'hihttharstad_FastEthernet1/0', 'Networks': '10.0.0.78/31|10.0.0.78/32'}, {'Next_Hop': 'hihttharstad_FastEthernet1/1', 'Networks': '10.0.0.80/32|10.0.0.80/31'}, {'Next_Hop': 'hihttharstad_FastEthernet0/0', 'Networks': '10.0.0.82/31|10.0.0.82/32'}]"
Hilttlillehammer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0206,"[{'Next_Hop': 'hilttlillehammer_FastEthernet0/1', 'Networks': '10.0.0.26/31|10.0.0.27/32'}, {'Next_Hop': 'hilttlillehammer_FastEthernet0/0', 'Networks': '10.0.0.181/32|10.0.0.180/31'}]"
Hinettmottittrana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'hinettmottittrana_FastEthernet0/0', 'Networks': '10.0.0.55/32|10.0.0.54/31'}]"
Hinettnesna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0008,"[{'Next_Hop': 'hinettnesna_FastEthernet0/1', 'Networks': '10.0.0.56/31|10.0.0.57/32'}, {'Next_Hop': 'hinettnesna_FastEthernet0/0', 'Networks': '10.0.0.62/31|10.0.0.62/32'}]"
Hinettsandnesjoen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0233,"[{'Next_Hop': 'hinettsandnesjoen_FastEthernet0/1', 'Networks': '10.0.0.62/31|10.0.0.63/32'}, {'Next_Hop': 'hinettsandnesjoen_FastEthernet1/0', 'Networks': '10.0.0.124/31|10.0.0.124/32'}, {'Next_Hop': 'hinettsandnesjoen_FastEthernet0/0', 'Networks': '10.0.0.126/32|10.0.0.126/31'}]"
Hingttstjordal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0394,"[{'Next_Hop': 'hingttstjordal_FastEthernet0/0', 'Networks': '10.0.0.142/31|10.0.0.142/32'}, {'Next_Hop': 'hingttstjordal_FastEthernet0/1', 'Networks': '10.0.0.144/32|10.0.0.144/31'}, {'Next_Hop': 'hingttstjordal_FastEthernet1/0', 'Networks': '10.0.0.146/31|10.0.0.146/32'}]"
Hinttnarvik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0.1463,"[{'Next_Hop': 'hinttnarvik_FastEthernet1/1', 'Networks': '10.0.0.68/32|10.0.0.68/31'}, {'Next_Hop': 'hinttnarvik_FastEthernet1/0', 'Networks': '10.0.0.70/31|10.0.0.70/32'}, {'Next_Hop': 'hinttnarvik_FastEthernet0/1', 'Networks': '10.0.0.72/31|10.0.0.72/32'}, {'Next_Hop': 'hinttnarvik_FastEthernet0/0', 'Networks': '10.0.0.74/31|10.0.0.74/32'}, {'Next_Hop': 'hinttnarvik_FastEthernet2/0', 'Networks': '10.0.0.76/31|10.0.0.76/32'}]"
Hintttlevanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0013,"[{'Next_Hop': 'hintttlevanger_FastEthernet0/0', 'Networks': '10.0.0.128/31|10.0.0.129/32'}, {'Next_Hop': 'hintttlevanger_FastEthernet0/1', 'Networks': '10.0.0.142/31|10.0.0.143/32'}]"
Hintttnamsos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0025,"[{'Next_Hop': 'hintttnamsos_FastEthernet0/1', 'Networks': '10.0.0.52/31|10.0.0.53/32'}, {'Next_Hop': 'hintttnamsos_FastEthernet0/0', 'Networks': '10.0.0.131/32|10.0.0.130/31'}]"
Hintttsteinkjer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0328,"[{'Next_Hop': 'hintttsteinkjer_FastEthernet0/0', 'Networks': '10.0.0.128/32|10.0.0.128/31'}, {'Next_Hop': 'hintttsteinkjer_FastEthernet0/1', 'Networks': '10.0.0.130/32|10.0.0.130/31'}, {'Next_Hop': 'hintttsteinkjer_FastEthernet1/0', 'Networks': '10.0.0.132/32|10.0.0.132/31'}]"
Hiottfredrikstad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0.0093,"[{'Next_Hop': 'hiottfredrikstad_FastEthernet0/0', 'Networks': '10.0.0.64/31|10.0.0.65/32'}, {'Next_Hop': 'hiottfredrikstad_FastEthernet0/1', 'Networks': '10.0.0.165/32|10.0.0.164/31'}, {'Next_Hop': 'hiottfredrikstad_FastEthernet1/0', 'Networks': '10.0.0.166/31|10.0.0.167/32'}]"
Hiotthalden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0209,"[{'Next_Hop': 'hiotthalden_FastEthernet0/1', 'Networks': '10.0.0.19/32|10.0.0.18/31'}, {'Next_Hop': 'hiotthalden_FastEthernet0/0', 'Networks': '10.0.0.164/32|10.0.0.164/31'}]"
Hitttbo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0869,"[{'Next_Hop': 'hitttbo_FastEthernet2/0', 'Networks': '10.0.0.8/31|10.0.0.9/32'}, {'Next_Hop': 'hitttbo_FastEthernet0/0', 'Networks': '10.0.0.44/31|10.0.0.45/32'}, {'Next_Hop': 'hitttbo_FastEthernet1/1', 'Networks': '10.0.0.169/32|10.0.0.168/31'}, {'Next_Hop': 'hitttbo_FastEthernet1/0', 'Networks': '10.0.0.171/32|10.0.0.170/31'}, {'Next_Hop': 'hitttbo_FastEthernet0/1', 'Networks': '10.0.0.172/31|10.0.0.172/32'}]"
Hitttnotodden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'hitttnotodden_FastEthernet0/0', 'Networks': '10.0.0.173/32|10.0.0.172/31'}]"
Hitttporsgrunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.004,"[{'Next_Hop': 'hitttporsgrunn_FastEthernet0/1', 'Networks': '10.0.0.162/31|10.0.0.163/32'}, {'Next_Hop': 'hitttporsgrunn_FastEthernet0/0', 'Networks': '10.0.0.170/32|10.0.0.170/31'}]"
Hitttrauland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'hitttrauland_FastEthernet0/0', 'Networks': '10.0.0.168/32|10.0.0.168/31'}]"
Hsfttforde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0294,"[{'Next_Hop': 'hsfttforde_FastEthernet1/0', 'Networks': '10.0.0.100/31|10.0.0.101/32'}, {'Next_Hop': 'hsfttforde_FastEthernet0/1', 'Networks': '10.0.0.120/31|10.0.0.121/32'}, {'Next_Hop': 'hsfttforde_FastEthernet0/0', 'Networks': '10.0.0.122/31|10.0.0.122/32'}]"
Hsfttsandane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'hsfttsandane_FastEthernet0/0', 'Networks': '10.0.0.123/32|10.0.0.122/31'}]"
Hsfttsongdal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.041,"[{'Next_Hop': 'hsfttsongdal_FastEthernet0/1', 'Networks': '10.0.0.116/31|10.0.0.117/32'}, {'Next_Hop': 'hsfttsongdal_FastEthernet0/0', 'Networks': '10.0.0.120/31|10.0.0.120/32'}]"
Hshtthaugesund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0.0014,"[{'Next_Hop': 'hshtthaugesund_FastEthernet0/1', 'Networks': '10.0.0.104/31|10.0.0.105/32'}, {'Next_Hop': 'hshtthaugesund_FastEthernet0/0', 'Networks': '10.0.0.110/31|10.0.0.110/32'}]"
Hshttstord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0185,"[{'Next_Hop': 'hshttstord_FastEthernet0/0', 'Networks': '10.0.0.110/31|10.0.0.111/32'}, {'Next_Hop': 'hshttstord_FastEthernet0/1', 'Networks': '10.0.0.112/32|10.0.0.112/31'}]"
Hsmttkristiansun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0.0045,"[{'Next_Hop': 'hsmttkristiansun_FastEthernet0/0', 'Networks': '10.0.0.149/32|10.0.0.148/31'}, {'Next_Hop': 'hsmttkristiansun_FastEthernet0/1', 'Networks': '10.0.0.150/31|10.0.0.150/32'}]"
Hsmttmolde,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0031,"[{'Next_Hop': 'hsmttmolde_FastEthernet0/1', 'Networks': '10.0.0.99/32|10.0.0.98/31'}, {'Next_Hop': 'hsmttmolde_FastEthernet0/0', 'Networks': '10.0.0.148/32|10.0.0.148/31'}]"
