Device,Interface,IP Address,Subnet Mask,Description
avonttpark,FastEthernet0/0,10.0.0.119,/31,"""To FortTTMyers"""
avonttpark,FastEthernet0/1,10.0.0.125,/31,"""To WinterTTPark"""
baldwin,FastEthernet0/0,10.0.0.111,/31,"""To Boone"""
baldwin,FastEthernet0/1,10.0.0.112,/31,"""To Sparta"""
beaufort,FastEthernet0/0,10.0.0.239,/31,"""To HiltonTTHead"""
beaufort,FastEthernet0/1,10.0.0.242,/31,"""To Yemassee"""
bethune,FastEthernet0/0,10.0.1.45,/31,"""To Florence"""
bethune,FastEthernet0/1,10.0.1.33,/31,"""To Kershaw"""
birmingham,FastEthernet0/0,10.0.0.229,/31,"""To Atlanta"""
birmingham,FastEthernet0/1,10.0.1.119,/31,"""To Montgomery"""
blacksburg,FastEthernet0/0,10.0.0.166,/31,"""To Christiansburg"""
blacksburg,FastEthernet0/1,10.0.0.164,/31,"""To Troutville"""
blairsville,FastEthernet0/0,10.0.1.13,/31,"""To Blueridge"""
blairsville,FastEthernet0/1,10.0.1.14,/31,"""To YoungTTHarris"""
bland,FastEthernet0/0,10.0.0.162,/31,"""To Bluefield"""
bland,FastEthernet0/1,10.0.0.161,/31,"""To Wytheville"""
blitchton,FastEthernet0/0,10.0.1.96,/31,"""To Pembroke"""
blitchton,FastEthernet0/1,10.0.1.87,/31,"""To Savannah"""
blountstown,FastEthernet0/0,10.0.1.123,/31,"""To PanamaTTCity"""
blountstown,FastEthernet0/1,10.0.1.124,/31,"""To Tallahassee"""
bluefield,FastEthernet0/0,10.0.0.163,/31,"""To Bland"""
blueridge,FastEthernet0/0,10.0.1.12,/31,"""To Blairsville"""
blueridge,FastEthernet0/1,10.0.0.221,/31,"""To Copperhill"""
blueridge,FastEthernet1/0,10.0.0.225,/31,"""To Ellijay"""
boone,FastEthernet0/0,10.0.0.110,/31,"""To Baldwin"""
boone,FastEthernet0/1,10.0.0.103,/31,"""To Lexington"""
bristol,FastEthernet0/0,10.0.0.68,/31,"""To Abingdon"""
bristol,FastEthernet0/1,10.0.0.70,/31,"""To JohnsonTTCity"""
bristol,FastEthernet1/0,10.0.0.72,/31,"""To Kingsport"""
brysonttcity,FastEthernet0/0,10.0.1.49,/31,"""To Andrews"""
brysonttcity,FastEthernet0/1,10.0.1.53,/31,"""To Cherokee"""
burlington,FastEthernet0/0,10.0.0.46,/31,"""To Durham"""
burlington,FastEthernet0/1,10.0.0.48,/31,"""To Greensboro"""
calhoun,FastEthernet0/0,10.0.0.211,/31,"""To Cartersville"""
canton,FastEthernet0/0,10.0.0.204,/31,"""To Atlanta"""
canton,FastEthernet0/1,10.0.0.202,/31,"""To Ellijay"""
carlisle,FastEthernet0/0,10.0.1.111,/31,"""To Gettysburg"""
cartersville,FastEthernet0/0,10.0.0.210,/31,"""To Calhoun"""
cartersville,FastEthernet0/1,10.0.0.209,/31,"""To Maretta"""
chamersburg,FastEthernet0/0,10.0.1.108,/31,"""To Gettysburg"""
chamersburg,FastEthernet0/1,10.0.1.107,/31,"""To Hagerstown"""
charleston,FastEthernet0/0,10.0.0.152,/31,"""To Huntington"""
charleston,FastEthernet0/1,10.0.0.147,/31,"""To Roanoke"""
charlestonid102,FastEthernet0/0,10.0.1.34,/31,"""To MonksTTCorner"""
charlestonid102,FastEthernet0/1,10.0.1.36,/31,"""To Yemassee"""
charlotte,FastEthernet0/0,10.0.0.109,/31,"""To Concord"""
charlotte,FastEthernet0/1,10.0.1.60,/31,"""To RockTTHill"""
charlotte,FastEthernet1/0,10.0.1.58,/31,"""To Spartanburg"""
charlottesville,FastEthernet0/0,10.0.1.68,/31,"""To Lynchburg"""
charlottesville,FastEthernet0/1,10.0.1.66,/31,"""To Waynesboro"""
chattanooga,FastEthernet0/0,10.0.0.215,/31,"""To Dalton"""
chattanooga,FastEthernet0/1,10.0.0.219,/31,"""To Ringgold"""
cherokee,FastEthernet0/0,10.0.1.52,/31,"""To BrysonTTCity"""
cherokee,FastEthernet0/1,10.0.1.54,/31,"""To Sylva"""
chester,FastEthernet0/0,10.0.0.81,/31,"""To Abbeville"""
chester,FastEthernet0/1,10.0.0.29,/31,"""To Columbia"""
chester,FastEthernet1/0,10.0.1.63,/31,"""To RockTTHill"""
christiansburg,FastEthernet0/0,10.0.0.167,/31,"""To Blacksburg"""
christiansburg,FastEthernet0/1,10.0.0.173,/31,"""To Radford"""
clemson,FastEthernet0/0,10.0.0.83,/31,"""To Anderson"""
clemson,FastEthernet0/1,10.0.1.9,/31,"""To GreenvilleID91"""
clemson,FastEthernet1/0,10.0.0.85,/31,"""To HickoryTTTavern"""
clemson,FastEthernet1/1,10.0.1.24,/31,"""To Toccoa"""
columbia,FastEthernet0/0,10.0.0.20,/31,"""To Aiken"""
columbia,FastEthernet0/1,10.0.0.22,/31,"""To Augusta"""
columbia,FastEthernet1/0,10.0.0.28,/31,"""To Chester"""
columbia,FastEthernet1/1,10.0.0.26,/31,"""To NodeID85"""
columbia,FastEthernet2/0,10.0.0.24,/31,"""To Sumter"""
columbus,FastEthernet0/0,10.0.0.231,/31,"""To Atlanta"""
columbus,FastEthernet0/1,10.0.1.115,/31,"""To Montgomery"""
concord,FastEthernet0/0,10.0.0.108,/31,"""To Charlotte"""
concord,FastEthernet0/1,10.0.0.99,/31,"""To Salisbury"""
copperhill,FastEthernet0/0,10.0.0.220,/31,"""To Blueridge"""
copperhill,FastEthernet0/1,10.0.0.222,/31,"""To Murphy"""
courtney,FastEthernet0/0,10.0.0.117,/31,"""To LevelTTCross"""
courtney,FastEthernet0/1,10.0.0.105,/31,"""To Lexington"""
crestview,FastEthernet0/0,10.0.0.176,/31,"""To PanamaTTCity"""
crestview,FastEthernet0/1,10.0.0.174,/31,"""To Pensacola"""
dalton,FastEthernet0/0,10.0.0.214,/31,"""To Chattanooga"""
dalton,FastEthernet0/1,10.0.0.216,/31,"""To Ellijay"""
dalton,FastEthernet1/0,10.0.0.212,/31,"""To Ringgold"""
danville,FastEthernet0/0,10.0.0.91,/31,"""To Greensboro"""
danville,FastEthernet0/1,10.0.1.73,/31,"""To Lynchburg"""
danville,FastEthernet1/0,10.0.1.83,/31,"""To Martinsville"""
darien,FastEthernet0/0,10.0.0.8,/31,"""To Hinesville"""
darien,FastEthernet0/1,10.0.0.6,/31,"""To Nahunta"""
dothan,FastEthernet0/0,10.0.0.180,/31,"""To Montgomery"""
dothan,FastEthernet0/1,10.0.0.178,/31,"""To PanamaTTCity"""
dothan,FastEthernet1/0,10.0.0.182,/31,"""To PeerDothan_0"""
douglas,FastEthernet0/0,10.0.0.15,/31,"""To Waycross"""
douglas,FastEthernet0/1,10.0.0.139,/31,"""To Willacoochee"""
durham,FastEthernet0/0,10.0.0.47,/31,"""To Burlington"""
durham,FastEthernet0/1,10.0.0.41,/31,"""To Raleigh"""
easley,FastEthernet0/0,10.0.1.6,/31,"""To GreenvilleID91"""
easley,FastEthernet0/1,10.0.1.4,/31,"""To Toccoa"""
edinburg,FastEthernet0/0,10.0.0.184,/31,"""To NodeID78"""
edinburg,FastEthernet0/1,10.0.0.186,/31,"""To NodeID79"""
ellijay,FastEthernet0/0,10.0.0.224,/31,"""To Blueridge"""
ellijay,FastEthernet0/1,10.0.0.203,/31,"""To Canton"""
ellijay,FastEthernet1/0,10.0.0.217,/31,"""To Dalton"""
fayetteville,FastEthernet0/0,10.0.0.55,/31,"""To JacksonvilleID15"""
fayetteville,FastEthernet0/1,10.0.0.37,/31,"""To Raleigh"""
fayetteville,FastEthernet1/0,10.0.0.45,/31,"""To RockyTTMount"""
fayetteville,FastEthernet1/1,10.0.0.60,/31,"""To TarTTHeel"""
fayetteville,FastEthernet2/0,10.0.0.58,/31,"""To Wilmington"""
florence,FastEthernet0/0,10.0.1.44,/31,"""To Bethune"""
florence,FastEthernet0/1,10.0.1.42,/31,"""To MyrtleTTBeach"""
florence,FastEthernet1/0,10.0.1.46,/31,"""To Sumter"""
florence,FastEthernet1/1,10.0.0.201,/31,"""To TarTTHeel"""
fortttmyers,FastEthernet0/0,10.0.0.118,/31,"""To AvonTTPark"""
franklin,FastEthernet0/0,10.0.0.255,/31,"""To Hiawassee"""
franklin,FastEthernet0/1,10.0.1.2,/31,"""To Sylva"""
frontttroyal,FastEthernet0/0,10.0.0.190,/31,"""To NodeID79"""
frontttroyal,FastEthernet0/1,10.0.0.188,/31,"""To Warrenton"""
georgetown,FastEthernet0/0,10.0.1.40,/31,"""To MyrtleTTBeach"""
georgetown,FastEthernet0/1,10.0.0.245,/31,"""To NodeID82"""
gettysburg,FastEthernet0/0,10.0.1.110,/31,"""To Carlisle"""
gettysburg,FastEthernet0/1,10.0.1.109,/31,"""To Chamersburg"""
greensboro,FastEthernet0/0,10.0.0.49,/31,"""To Burlington"""
greensboro,FastEthernet0/1,10.0.0.90,/31,"""To Danville"""
greensboro,FastEthernet1/0,10.0.0.88,/31,"""To NodeID84"""
greenville,FastEthernet0/0,10.0.0.56,/31,"""To Kinston"""
greenville,FastEthernet0/1,10.0.0.43,/31,"""To RockyTTMount"""
greenvilleid91,FastEthernet0/0,10.0.0.199,/31,"""To Asheville"""
greenvilleid91,FastEthernet0/1,10.0.1.8,/31,"""To Clemson"""
greenvilleid91,FastEthernet1/0,10.0.1.7,/31,"""To Easley"""
greenvilleid91,FastEthernet1/1,10.0.1.10,/31,"""To Spartanburg"""
greenwood,FastEthernet0/0,10.0.0.79,/31,"""To Abbeville"""
hagerstown,FastEthernet0/0,10.0.1.106,/31,"""To Chamersburg"""
hagerstown,FastEthernet0/1,10.0.1.65,/31,"""To Martinsburg"""
harrisonburg,FastEthernet0/0,10.0.0.235,/31,"""To NodeID78"""
harrisonburg,FastEthernet0/1,10.0.1.76,/31,"""To Staunton"""
harrisonburg,FastEthernet1/0,10.0.1.78,/31,"""To Waynesboro"""
hartwell,FastEthernet0/0,10.0.0.65,/31,"""To Athens"""
hartwell,FastEthernet0/1,10.0.0.33,/31,"""To Augusta"""
hawkinsville,FastEthernet0/0,10.0.1.88,/31,"""To Leslie"""
hawkinsville,FastEthernet0/1,10.0.1.92,/31,"""To Rentz"""
hawkinsville,FastEthernet1/0,10.0.1.90,/31,"""To Warwick"""
hayesville,FastEthernet0/0,10.0.1.18,/31,"""To Andrews"""
hayesville,FastEthernet0/1,10.0.1.17,/31,"""To YoungTTHarris"""
herndon,FastEthernet0/0,10.0.0.195,/31,"""To Ashburn"""
herndon,FastEthernet0/1,10.0.1.23,/31,"""To Leesburg"""
hiawassee,FastEthernet0/0,10.0.0.254,/31,"""To Franklin"""
hiawassee,FastEthernet0/1,10.0.1.0,/31,"""To YoungTTHarris"""
hickory,FastEthernet0/0,10.0.0.197,/31,"""To Asheville"""
hickory,FastEthernet0/1,10.0.1.56,/31,"""To Spartanburg"""
hickorytttavern,FastEthernet0/0,10.0.0.77,/31,"""To Abbeville"""
hickorytttavern,FastEthernet0/1,10.0.0.84,/31,"""To Clemson"""
highttpoint,FastEthernet0/0,10.0.0.93,/31,"""To Kernersville"""
highttpoint,FastEthernet0/1,10.0.0.101,/31,"""To Lexington"""
highttpoint,FastEthernet1/0,10.0.0.106,/31,"""To NodeID84"""
hiltontthead,FastEthernet0/0,10.0.0.238,/31,"""To Beaufort"""
hiltontthead,FastEthernet0/1,10.0.0.240,/31,"""To NodeID86"""
hinesville,FastEthernet0/0,10.0.0.9,/31,"""To Darien"""
hinesville,FastEthernet0/1,10.0.1.84,/31,"""To Savannah"""
huntington,FastEthernet0/0,10.0.1.113,/31,"""To Ashland"""
huntington,FastEthernet0/1,10.0.0.153,/31,"""To Charleston"""
jacksonville,FastEthernet0/0,10.0.0.16,/31,"""To LakeTTCity"""
jacksonville,FastEthernet0/1,10.0.0.13,/31,"""To Nahunta"""
jacksonvilleid15,FastEthernet0/0,10.0.0.54,/31,"""To Fayetteville"""
jacksonvilleid15,FastEthernet0/1,10.0.0.53,/31,"""To NewTTBern"""
johnsonttcity,FastEthernet0/0,10.0.0.71,/31,"""To Bristol"""
johnsonttcity,FastEthernet0/1,10.0.0.75,/31,"""To Kingsport"""
kernersville,FastEthernet0/0,10.0.0.92,/31,"""To HighTTPoint"""
kernersville,FastEthernet0/1,10.0.0.94,/31,"""To NodeID84"""
kershaw,FastEthernet0/0,10.0.1.32,/31,"""To Bethune"""
kershaw,FastEthernet0/1,10.0.1.29,/31,"""To Lancaster"""
kingsport,FastEthernet0/0,10.0.0.73,/31,"""To Bristol"""
kingsport,FastEthernet0/1,10.0.0.74,/31,"""To JohnsonTTCity"""
kinston,FastEthernet0/0,10.0.0.57,/31,"""To Greenville"""
kinston,FastEthernet0/1,10.0.0.51,/31,"""To NewTTBern"""
lakettcity,FastEthernet0/0,10.0.0.17,/31,"""To Jacksonville"""
lakettcity,FastEthernet0/1,10.0.0.18,/31,"""To Tallahassee"""
lancaster,FastEthernet0/0,10.0.1.28,/31,"""To Kershaw"""
lancaster,FastEthernet0/1,10.0.1.30,/31,"""To RockTTHill"""
leesburg,FastEthernet0/0,10.0.1.22,/31,"""To Herndon"""
leesburg,FastEthernet0/1,10.0.1.20,/31,"""To Winchester"""
leesburgid143,FastEthernet0/0,10.0.0.253,/31,"""To Maitland"""
leesburgid143,FastEthernet0/1,10.0.1.105,/31,"""To Ocala"""
leslie,FastEthernet0/0,10.0.1.89,/31,"""To Hawkinsville"""
leslie,FastEthernet0/1,10.0.1.95,/31,"""To Macon"""
levelttcross,FastEthernet0/0,10.0.0.116,/31,"""To Courtney"""
levelttcross,FastEthernet0/1,10.0.0.114,/31,"""To Sparta"""
lexington,FastEthernet0/0,10.0.0.102,/31,"""To Boone"""
lexington,FastEthernet0/1,10.0.0.104,/31,"""To Courtney"""
lexington,FastEthernet1/0,10.0.0.100,/31,"""To HighTTPoint"""
lexington,FastEthernet1/1,10.0.0.97,/31,"""To Salisbury"""
lexingtonid123,FastEthernet0/0,10.0.0.171,/31,"""To Troutville"""
lexingtonid123,FastEthernet0/1,10.0.1.70,/31,"""To Waynesboro"""
lynchburg,FastEthernet0/0,10.0.1.69,/31,"""To Charlottesville"""
lynchburg,FastEthernet0/1,10.0.1.72,/31,"""To Danville"""
lynchburg,FastEthernet1/0,10.0.0.149,/31,"""To Roanoke"""
macon,FastEthernet0/0,10.0.0.143,/31,"""To Albany"""
macon,FastEthernet0/1,10.0.0.227,/31,"""To Atlanta"""
macon,FastEthernet1/0,10.0.1.94,/31,"""To Leslie"""
maitland,FastEthernet0/0,10.0.0.252,/31,"""To LeesburgID143"""
maitland,FastEthernet0/1,10.0.0.127,/31,"""To WinterTTPark"""
maretta,FastEthernet0/0,10.0.0.206,/31,"""To Atlanta"""
maretta,FastEthernet0/1,10.0.0.208,/31,"""To Cartersville"""
marion,FastEthernet0/0,10.0.0.87,/31,"""To Abingdon"""
marion,FastEthernet0/1,10.0.0.154,/31,"""To Wytheville"""
martinsburg,FastEthernet0/0,10.0.1.64,/31,"""To Hagerstown"""
martinsburg,FastEthernet0/1,10.0.1.27,/31,"""To StephensTTCity"""
martinsville,FastEthernet0/0,10.0.1.82,/31,"""To Danville"""
martinsville,FastEthernet0/1,10.0.1.75,/31,"""To RockyTTMountID125"""
metter,FastEthernet0/0,10.0.1.99,/31,"""To Pembroke"""
metter,FastEthernet0/1,10.0.1.100,/31,"""To Rentz"""
mobile,FastEthernet0/0,10.0.1.117,/31,"""To Montgomery"""
mobile,FastEthernet0/1,10.0.1.121,/31,"""To Pensacola"""
monksttcorner,FastEthernet0/0,10.0.1.35,/31,"""To CharlestonID102"""
monksttcorner,FastEthernet0/1,10.0.0.247,/31,"""To NodeID82"""
montgomery,FastEthernet0/0,10.0.1.118,/31,"""To Birmingham"""
montgomery,FastEthernet0/1,10.0.1.114,/31,"""To Columbus"""
montgomery,FastEthernet1/0,10.0.0.181,/31,"""To Dothan"""
montgomery,FastEthernet1/1,10.0.1.116,/31,"""To Mobile"""
murphy,FastEthernet0/0,10.0.1.51,/31,"""To Andrews"""
murphy,FastEthernet0/1,10.0.0.223,/31,"""To Copperhill"""
myrtlettbeach,FastEthernet0/0,10.0.1.43,/31,"""To Florence"""
myrtlettbeach,FastEthernet0/1,10.0.1.41,/31,"""To Georgetown"""
myrtlettbeach,FastEthernet1/0,10.0.0.63,/31,"""To Wilmington"""
nahunta,FastEthernet0/0,10.0.0.7,/31,"""To Darien"""
nahunta,FastEthernet0/1,10.0.0.12,/31,"""To Jacksonville"""
nahunta,FastEthernet1/0,10.0.0.10,/31,"""To Waycross"""
newttbern,FastEthernet0/0,10.0.0.52,/31,"""To JacksonvilleID15"""
newttbern,FastEthernet0/1,10.0.0.50,/31,"""To Kinston"""
nodeid78,FastEthernet0/0,10.0.0.185,/31,"""To Edinburg"""
nodeid78,FastEthernet0/1,10.0.0.234,/31,"""To Harrisonburg"""
nodeid78,FastEthernet1/0,10.0.0.232,/31,"""To Winchester"""
nodeid79,FastEthernet0/0,10.0.0.187,/31,"""To Edinburg"""
nodeid79,FastEthernet0/1,10.0.0.191,/31,"""To FrontTTRoyal"""
nodeid79,FastEthernet1/0,10.0.0.236,/31,"""To StephensTTCity"""
nodeid82,FastEthernet0/0,10.0.0.244,/31,"""To Georgetown"""
nodeid82,FastEthernet0/1,10.0.0.246,/31,"""To MonksTTCorner"""
nodeid82,FastEthernet1/0,10.0.0.248,/31,"""To Sumter"""
nodeid84,FastEthernet0/0,10.0.0.89,/31,"""To Greensboro"""
nodeid84,FastEthernet0/1,10.0.0.107,/31,"""To HighTTPoint"""
nodeid84,FastEthernet1/0,10.0.0.95,/31,"""To Kernersville"""
nodeid85,FastEthernet0/0,10.0.0.27,/31,"""To Columbia"""
nodeid85,FastEthernet0/1,10.0.0.1,/31,"""To Orangeburg"""
nodeid85,FastEthernet1/0,10.0.0.3,/31,"""To Walterboro"""
nodeid86,FastEthernet0/0,10.0.0.35,/31,"""To Augusta"""
nodeid86,FastEthernet0/1,10.0.0.241,/31,"""To HiltonTTHead"""
nodeid86,FastEthernet1/0,10.0.0.250,/31,"""To Savannah"""
ocala,FastEthernet0/0,10.0.1.104,/31,"""To LeesburgID143"""
ocala,FastEthernet0/1,10.0.1.102,/31,"""To Tallahassee"""
omega,FastEthernet0/0,10.0.0.123,/31,"""To Tifton"""
omega,FastEthernet0/1,10.0.0.131,/31,"""To Vadosta"""
omega,FastEthernet1/0,10.0.0.136,/31,"""To Warwick"""
omega,FastEthernet1/1,10.0.0.134,/31,"""To Willacoochee"""
orangeburg,FastEthernet0/0,10.0.0.0,/31,"""To NodeID85"""
panamattcity,FastEthernet0/0,10.0.1.122,/31,"""To Blountstown"""
panamattcity,FastEthernet0/1,10.0.0.177,/31,"""To Crestview"""
panamattcity,FastEthernet1/0,10.0.0.179,/31,"""To Dothan"""
peerdothan_0,FastEthernet0/0,10.0.0.183,/31,"""To Dothan"""
peerdothan_0,Loopback0,128.0.0.1,/24,"""For P_PeerDothan_0"""
peervadosta_1,FastEthernet0/0,10.0.0.133,/31,"""To Vadosta"""
peervadosta_1,Loopback0,128.0.1.1,/24,"""For P_PeerVadosta_1"""
pembroke,FastEthernet0/0,10.0.1.97,/31,"""To Blitchton"""
pembroke,FastEthernet0/1,10.0.1.98,/31,"""To Metter"""
pensacola,FastEthernet0/0,10.0.0.175,/31,"""To Crestview"""
pensacola,FastEthernet0/1,10.0.1.120,/31,"""To Mobile"""
radford,FastEthernet0/0,10.0.0.172,/31,"""To Christiansburg"""
radford,FastEthernet0/1,10.0.0.157,/31,"""To Wytheville"""
raleigh,FastEthernet0/0,10.0.0.40,/31,"""To Durham"""
raleigh,FastEthernet0/1,10.0.0.36,/31,"""To Fayetteville"""
raleigh,FastEthernet1/0,10.0.0.38,/31,"""To RockyTTMount"""
rentz,FastEthernet0/0,10.0.1.93,/31,"""To Hawkinsville"""
rentz,FastEthernet0/1,10.0.1.101,/31,"""To Metter"""
ringgold,FastEthernet0/0,10.0.0.218,/31,"""To Chattanooga"""
ringgold,FastEthernet0/1,10.0.0.213,/31,"""To Dalton"""
roanoke,FastEthernet0/0,10.0.0.146,/31,"""To Charleston"""
roanoke,FastEthernet0/1,10.0.0.148,/31,"""To Lynchburg"""
roanoke,FastEthernet1/0,10.0.0.150,/31,"""To RockyTTMountID125"""
roanoke,FastEthernet1/1,10.0.0.144,/31,"""To Troutville"""
rocktthill,FastEthernet0/0,10.0.1.61,/31,"""To Charlotte"""
rocktthill,FastEthernet0/1,10.0.1.62,/31,"""To Chester"""
rocktthill,FastEthernet1/0,10.0.1.31,/31,"""To Lancaster"""
rockyttmount,FastEthernet0/0,10.0.0.44,/31,"""To Fayetteville"""
rockyttmount,FastEthernet0/1,10.0.0.42,/31,"""To Greenville"""
rockyttmount,FastEthernet1/0,10.0.0.39,/31,"""To Raleigh"""
rockyttmountid125,FastEthernet0/0,10.0.1.74,/31,"""To Martinsville"""
rockyttmountid125,FastEthernet0/1,10.0.0.151,/31,"""To Roanoke"""
salisbury,FastEthernet0/0,10.0.0.98,/31,"""To Concord"""
salisbury,FastEthernet0/1,10.0.0.96,/31,"""To Lexington"""
savannah,FastEthernet0/0,10.0.1.86,/31,"""To Blitchton"""
savannah,FastEthernet0/1,10.0.1.85,/31,"""To Hinesville"""
savannah,FastEthernet1/0,10.0.0.251,/31,"""To NodeID86"""
savannah,FastEthernet1/1,10.0.1.39,/31,"""To Yemassee"""
sparta,FastEthernet0/0,10.0.0.113,/31,"""To Baldwin"""
sparta,FastEthernet0/1,10.0.0.115,/31,"""To LevelTTCross"""
sparta,FastEthernet1/0,10.0.0.159,/31,"""To Wytheville"""
spartanburg,FastEthernet0/0,10.0.1.59,/31,"""To Charlotte"""
spartanburg,FastEthernet0/1,10.0.1.11,/31,"""To GreenvilleID91"""
spartanburg,FastEthernet1/0,10.0.1.57,/31,"""To Hickory"""
staunton,FastEthernet0/0,10.0.1.77,/31,"""To Harrisonburg"""
staunton,FastEthernet0/1,10.0.0.169,/31,"""To Troutville"""
staunton,FastEthernet1/0,10.0.1.80,/31,"""To Waynesboro"""
stephensttcity,FastEthernet0/0,10.0.1.26,/31,"""To Martinsburg"""
stephensttcity,FastEthernet0/1,10.0.0.237,/31,"""To NodeID79"""
sumter,FastEthernet0/0,10.0.0.25,/31,"""To Columbia"""
sumter,FastEthernet0/1,10.0.1.47,/31,"""To Florence"""
sumter,FastEthernet1/0,10.0.0.249,/31,"""To NodeID82"""
sylva,FastEthernet0/0,10.0.1.55,/31,"""To Cherokee"""
sylva,FastEthernet0/1,10.0.1.3,/31,"""To Franklin"""
tallahassee,FastEthernet0/0,10.0.0.141,/31,"""To Albany"""
tallahassee,FastEthernet0/1,10.0.1.125,/31,"""To Blountstown"""
tallahassee,FastEthernet1/0,10.0.0.19,/31,"""To LakeTTCity"""
tallahassee,FastEthernet1/1,10.0.1.103,/31,"""To Ocala"""
tarttheel,FastEthernet0/0,10.0.0.61,/31,"""To Fayetteville"""
tarttheel,FastEthernet0/1,10.0.0.200,/31,"""To Florence"""
tifton,FastEthernet0/0,10.0.0.120,/31,"""To Adel"""
tifton,FastEthernet0/1,10.0.0.122,/31,"""To Omega"""
toccoa,FastEthernet0/0,10.0.1.25,/31,"""To Clemson"""
toccoa,FastEthernet0/1,10.0.1.5,/31,"""To Easley"""
troutville,FastEthernet0/0,10.0.0.165,/31,"""To Blacksburg"""
troutville,FastEthernet0/1,10.0.0.170,/31,"""To LexingtonID123"""
troutville,FastEthernet1/0,10.0.0.145,/31,"""To Roanoke"""
troutville,FastEthernet1/1,10.0.0.168,/31,"""To Staunton"""
vadosta,FastEthernet0/0,10.0.0.129,/31,"""To Adel"""
vadosta,FastEthernet0/1,10.0.0.130,/31,"""To Omega"""
vadosta,FastEthernet1/0,10.0.0.132,/31,"""To PeerVadosta_1"""
walterboro,FastEthernet0/0,10.0.0.2,/31,"""To NodeID85"""
walterboro,FastEthernet0/1,10.0.0.4,/31,"""To Yemassee"""
warrenton,FastEthernet0/0,10.0.0.192,/31,"""To Ashburn"""
warrenton,FastEthernet0/1,10.0.0.189,/31,"""To FrontTTRoyal"""
warwick,FastEthernet0/0,10.0.1.91,/31,"""To Hawkinsville"""
warwick,FastEthernet0/1,10.0.0.137,/31,"""To Omega"""
waycross,FastEthernet0/0,10.0.0.14,/31,"""To Douglas"""
waycross,FastEthernet0/1,10.0.0.11,/31,"""To Nahunta"""
waynesboro,FastEthernet0/0,10.0.1.67,/31,"""To Charlottesville"""
waynesboro,FastEthernet0/1,10.0.1.79,/31,"""To Harrisonburg"""
waynesboro,FastEthernet1/0,10.0.1.71,/31,"""To LexingtonID123"""
waynesboro,FastEthernet1/1,10.0.1.81,/31,"""To Staunton"""
willacoochee,FastEthernet0/0,10.0.0.138,/31,"""To Douglas"""
willacoochee,FastEthernet0/1,10.0.0.135,/31,"""To Omega"""
wilmington,FastEthernet0/0,10.0.0.59,/31,"""To Fayetteville"""
wilmington,FastEthernet0/1,10.0.0.62,/31,"""To MyrtleTTBeach"""
winchester,FastEthernet0/0,10.0.1.21,/31,"""To Leesburg"""
winchester,FastEthernet0/1,10.0.0.233,/31,"""To NodeID78"""
winterttpark,FastEthernet0/0,10.0.0.124,/31,"""To AvonTTPark"""
winterttpark,FastEthernet0/1,10.0.0.126,/31,"""To Maitland"""
wytheville,FastEthernet0/0,10.0.0.160,/31,"""To Bland"""
wytheville,FastEthernet0/1,10.0.0.155,/31,"""To Marion"""
