Node,Network,Next_Hop,Protocol
atlanta,10.0.0.228/31,FastEthernet0/1,connected
atlanta,10.0.0.228/32,FastEthernet0/1,local
atlanta,10.0.0.230/31,FastEthernet1/1,connected
atlanta,10.0.0.230/32,FastEthernet1/1,local
augusta,10.0.0.22/31,FastEthernet0/1,connected
augusta,10.0.0.23/32,FastEthernet0/1,local
augusta,10.0.0.30/31,FastEthernet0/0,connected
augusta,10.0.0.31/32,FastEthernet0/0,local
augusta,10.0.0.32/31,FastEthernet1/0,connected
augusta,10.0.0.32/32,FastEthernet1/0,local
augusta,10.0.0.34/31,FastEthernet1/1,connected
augusta,10.0.0.34/32,FastEthernet1/1,local
avonttpark,10.0.0.118/31,FastEthernet0/0,connected
avonttpark,10.0.0.119/32,FastEthernet0/0,local
avonttpark,10.0.0.124/31,FastEthernet0/1,connected
avonttpark,10.0.0.125/32,FastEthernet0/1,local
baldwin,10.0.0.110/31,FastEthernet0/0,connected
baldwin,10.0.0.111/32,FastEthernet0/0,local
baldwin,10.0.0.112/31,FastEthernet0/1,connected
baldwin,10.0.0.112/32,FastEthernet0/1,local
beaufort,10.0.0.238/31,FastEthernet0/0,connected
beaufort,10.0.0.239/32,FastEthernet0/0,local
beaufort,10.0.0.242/31,FastEthernet0/1,connected
beaufort,10.0.0.242/32,FastEthernet0/1,local
bethune,10.0.1.32/31,FastEthernet0/1,connected
bethune,10.0.1.33/32,FastEthernet0/1,local
bethune,10.0.1.44/31,FastEthernet0/0,connected
bethune,10.0.1.45/32,FastEthernet0/0,local
birmingham,10.0.0.228/31,FastEthernet0/0,connected
birmingham,10.0.0.229/32,FastEthernet0/0,local
birmingham,10.0.1.118/31,FastEthernet0/1,connected
birmingham,10.0.1.119/32,FastEthernet0/1,local
blacksburg,10.0.0.164/31,FastEthernet0/1,connected
blacksburg,10.0.0.164/32,FastEthernet0/1,local
blacksburg,10.0.0.166/31,FastEthernet0/0,connected
blacksburg,10.0.0.166/32,FastEthernet0/0,local
blairsville,10.0.1.12/31,FastEthernet0/0,connected
blairsville,10.0.1.13/32,FastEthernet0/0,local
blairsville,10.0.1.14/31,FastEthernet0/1,connected
blairsville,10.0.1.14/32,FastEthernet0/1,local
bland,10.0.0.160/31,FastEthernet0/1,connected
bland,10.0.0.161/32,FastEthernet0/1,local
bland,10.0.0.162/31,FastEthernet0/0,connected
bland,10.0.0.162/32,FastEthernet0/0,local
blitchton,10.0.1.86/31,FastEthernet0/1,connected
blitchton,10.0.1.87/32,FastEthernet0/1,local
blitchton,10.0.1.96/31,FastEthernet0/0,connected
blitchton,10.0.1.96/32,FastEthernet0/0,local
blountstown,10.0.1.122/31,FastEthernet0/0,connected
blountstown,10.0.1.123/32,FastEthernet0/0,local
blountstown,10.0.1.124/31,FastEthernet0/1,connected
blountstown,10.0.1.124/32,FastEthernet0/1,local
blountstown,128.0.0.0/24,ip,bgp
bluefield,10.0.0.162/31,FastEthernet0/0,connected
bluefield,10.0.0.163/32,FastEthernet0/0,local
blueridge,10.0.0.220/31,FastEthernet0/1,connected
blueridge,10.0.0.221/32,FastEthernet0/1,local
blueridge,10.0.0.224/31,FastEthernet1/0,connected
blueridge,10.0.0.225/32,FastEthernet1/0,local
blueridge,10.0.1.12/31,FastEthernet0/0,connected
blueridge,10.0.1.12/32,FastEthernet0/0,local
boone,10.0.0.102/31,FastEthernet0/1,connected
boone,10.0.0.103/32,FastEthernet0/1,local
boone,10.0.0.110/31,FastEthernet0/0,connected
boone,10.0.0.110/32,FastEthernet0/0,local
bristol,10.0.0.68/31,FastEthernet0/0,connected
bristol,10.0.0.68/32,FastEthernet0/0,local
bristol,10.0.0.70/31,FastEthernet0/1,connected
bristol,10.0.0.70/32,FastEthernet0/1,local
bristol,10.0.0.72/31,FastEthernet1/0,connected
bristol,10.0.0.72/32,FastEthernet1/0,local
brysonttcity,10.0.1.48/31,FastEthernet0/0,connected
brysonttcity,10.0.1.49/32,FastEthernet0/0,local
brysonttcity,10.0.1.52/31,FastEthernet0/1,connected
brysonttcity,10.0.1.53/32,FastEthernet0/1,local
burlington,10.0.0.46/31,FastEthernet0/0,connected
burlington,10.0.0.46/32,FastEthernet0/0,local
burlington,10.0.0.48/31,FastEthernet0/1,connected
burlington,10.0.0.48/32,FastEthernet0/1,local
calhoun,10.0.0.210/31,FastEthernet0/0,connected
calhoun,10.0.0.211/32,FastEthernet0/0,local
canton,10.0.0.202/31,FastEthernet0/1,connected
canton,10.0.0.202/32,FastEthernet0/1,local
canton,10.0.0.204/31,FastEthernet0/0,connected
canton,10.0.0.204/32,FastEthernet0/0,local
carlisle,10.0.1.110/31,FastEthernet0/0,connected
carlisle,10.0.1.111/32,FastEthernet0/0,local
cartersville,10.0.0.208/31,FastEthernet0/1,connected
cartersville,10.0.0.209/32,FastEthernet0/1,local
cartersville,10.0.0.210/31,FastEthernet0/0,connected
cartersville,10.0.0.210/32,FastEthernet0/0,local
chamersburg,10.0.1.106/31,FastEthernet0/1,connected
chamersburg,10.0.1.107/32,FastEthernet0/1,local
chamersburg,10.0.1.108/31,FastEthernet0/0,connected
chamersburg,10.0.1.108/32,FastEthernet0/0,local
charleston,10.0.0.146/31,FastEthernet0/1,connected
charleston,10.0.0.147/32,FastEthernet0/1,local
charleston,10.0.0.152/31,FastEthernet0/0,connected
charleston,10.0.0.152/32,FastEthernet0/0,local
charlestonid102,10.0.1.34/31,FastEthernet0/0,connected
charlestonid102,10.0.1.34/32,FastEthernet0/0,local
charlestonid102,10.0.1.36/31,FastEthernet0/1,connected
charlestonid102,10.0.1.36/32,FastEthernet0/1,local
charlotte,10.0.0.108/31,FastEthernet0/0,connected
charlotte,10.0.0.109/32,FastEthernet0/0,local
charlotte,10.0.1.58/31,FastEthernet1/0,connected
charlotte,10.0.1.58/32,FastEthernet1/0,local
charlotte,10.0.1.60/31,FastEthernet0/1,connected
charlotte,10.0.1.60/32,FastEthernet0/1,local
charlottesville,10.0.1.66/31,FastEthernet0/1,connected
charlottesville,10.0.1.66/32,FastEthernet0/1,local
charlottesville,10.0.1.68/31,FastEthernet0/0,connected
charlottesville,10.0.1.68/32,FastEthernet0/0,local
chattanooga,10.0.0.214/31,FastEthernet0/0,connected
chattanooga,10.0.0.215/32,FastEthernet0/0,local
chattanooga,10.0.0.218/31,FastEthernet0/1,connected
chattanooga,10.0.0.219/32,FastEthernet0/1,local
cherokee,10.0.1.52/31,FastEthernet0/0,connected
cherokee,10.0.1.52/32,FastEthernet0/0,local
cherokee,10.0.1.54/31,FastEthernet0/1,connected
cherokee,10.0.1.54/32,FastEthernet0/1,local
chester,10.0.0.28/31,FastEthernet0/1,connected
chester,10.0.0.29/32,FastEthernet0/1,local
chester,10.0.0.80/31,FastEthernet0/0,connected
chester,10.0.0.81/32,FastEthernet0/0,local
chester,10.0.1.62/31,FastEthernet1/0,connected
chester,10.0.1.63/32,FastEthernet1/0,local
christiansburg,10.0.0.166/31,FastEthernet0/0,connected
christiansburg,10.0.0.167/32,FastEthernet0/0,local
christiansburg,10.0.0.172/31,FastEthernet0/1,connected
christiansburg,10.0.0.173/32,FastEthernet0/1,local
clemson,10.0.0.82/31,FastEthernet0/0,connected
clemson,10.0.0.83/32,FastEthernet0/0,local
clemson,10.0.0.84/31,FastEthernet1/0,connected
clemson,10.0.0.85/32,FastEthernet1/0,local
clemson,10.0.1.8/31,FastEthernet0/1,connected
clemson,10.0.1.9/32,FastEthernet0/1,local
clemson,10.0.1.24/31,FastEthernet1/1,connected
clemson,10.0.1.24/32,FastEthernet1/1,local
columbia,10.0.0.20/31,FastEthernet0/0,connected
columbia,10.0.0.20/32,FastEthernet0/0,local
columbia,10.0.0.22/31,FastEthernet0/1,connected
columbia,10.0.0.22/32,FastEthernet0/1,local
columbia,10.0.0.24/31,FastEthernet2/0,connected
columbia,10.0.0.24/32,FastEthernet2/0,local
columbia,10.0.0.26/31,FastEthernet1/1,connected
columbia,10.0.0.26/32,FastEthernet1/1,local
columbia,10.0.0.28/31,FastEthernet1/0,connected
columbia,10.0.0.28/32,FastEthernet1/0,local
columbus,10.0.0.230/31,FastEthernet0/0,connected
columbus,10.0.0.231/32,FastEthernet0/0,local
columbus,10.0.1.114/31,FastEthernet0/1,connected
columbus,10.0.1.115/32,FastEthernet0/1,local
concord,10.0.0.98/31,FastEthernet0/1,connected
concord,10.0.0.99/32,FastEthernet0/1,local
concord,10.0.0.108/31,FastEthernet0/0,connected
concord,10.0.0.108/32,FastEthernet0/0,local
copperhill,10.0.0.220/31,FastEthernet0/0,connected
copperhill,10.0.0.220/32,FastEthernet0/0,local
copperhill,10.0.0.222/31,FastEthernet0/1,connected
copperhill,10.0.0.222/32,FastEthernet0/1,local
courtney,10.0.0.104/31,FastEthernet0/1,connected
courtney,10.0.0.105/32,FastEthernet0/1,local
courtney,10.0.0.116/31,FastEthernet0/0,connected
courtney,10.0.0.117/32,FastEthernet0/0,local
crestview,10.0.0.174/31,FastEthernet0/1,connected
crestview,10.0.0.174/32,FastEthernet0/1,local
crestview,10.0.0.176/31,FastEthernet0/0,connected
crestview,10.0.0.176/32,FastEthernet0/0,local
dalton,10.0.0.212/31,FastEthernet1/0,connected
dalton,10.0.0.212/32,FastEthernet1/0,local
dalton,10.0.0.214/31,FastEthernet0/0,connected
dalton,10.0.0.214/32,FastEthernet0/0,local
dalton,10.0.0.216/31,FastEthernet0/1,connected
dalton,10.0.0.216/32,FastEthernet0/1,local
danville,10.0.0.90/31,FastEthernet0/0,connected
danville,10.0.0.91/32,FastEthernet0/0,local
danville,10.0.1.72/31,FastEthernet0/1,connected
danville,10.0.1.73/32,FastEthernet0/1,local
danville,10.0.1.82/31,FastEthernet1/0,connected
danville,10.0.1.83/32,FastEthernet1/0,local
darien,10.0.0.6/31,FastEthernet0/1,connected
darien,10.0.0.6/32,FastEthernet0/1,local
darien,10.0.0.8/31,FastEthernet0/0,connected
darien,10.0.0.8/32,FastEthernet0/0,local
dothan,10.0.0.178/31,FastEthernet0/1,connected
dothan,10.0.0.178/32,FastEthernet0/1,local
dothan,10.0.0.180/31,FastEthernet0/0,connected
dothan,10.0.0.180/32,FastEthernet0/0,local
dothan,10.0.0.182/31,FastEthernet1/0,connected
dothan,10.0.0.182/32,FastEthernet1/0,local
dothan,128.0.0.0/24,ip,bgp
douglas,10.0.0.14/31,FastEthernet0/0,connected
douglas,10.0.0.15/32,FastEthernet0/0,local
douglas,10.0.0.138/31,FastEthernet0/1,connected
douglas,10.0.0.139/32,FastEthernet0/1,local
durham,10.0.0.40/31,FastEthernet0/1,connected
durham,10.0.0.41/32,FastEthernet0/1,local
durham,10.0.0.46/31,FastEthernet0/0,connected
durham,10.0.0.47/32,FastEthernet0/0,local
easley,10.0.1.4/31,FastEthernet0/1,connected
easley,10.0.1.4/32,FastEthernet0/1,local
easley,10.0.1.6/31,FastEthernet0/0,connected
easley,10.0.1.6/32,FastEthernet0/0,local
edinburg,10.0.0.184/31,FastEthernet0/0,connected
edinburg,10.0.0.184/32,FastEthernet0/0,local
edinburg,10.0.0.186/31,FastEthernet0/1,connected
edinburg,10.0.0.186/32,FastEthernet0/1,local
ellijay,10.0.0.202/31,FastEthernet0/1,connected
ellijay,10.0.0.203/32,FastEthernet0/1,local
ellijay,10.0.0.216/31,FastEthernet1/0,connected
ellijay,10.0.0.217/32,FastEthernet1/0,local
ellijay,10.0.0.224/31,FastEthernet0/0,connected
ellijay,10.0.0.224/32,FastEthernet0/0,local
fayetteville,10.0.0.36/31,FastEthernet0/1,connected
fayetteville,10.0.0.37/32,FastEthernet0/1,local
fayetteville,10.0.0.44/31,FastEthernet1/0,connected
fayetteville,10.0.0.45/32,FastEthernet1/0,local
fayetteville,10.0.0.54/31,FastEthernet0/0,connected
fayetteville,10.0.0.55/32,FastEthernet0/0,local
fayetteville,10.0.0.58/31,FastEthernet2/0,connected
fayetteville,10.0.0.58/32,FastEthernet2/0,local
fayetteville,10.0.0.60/31,FastEthernet1/1,connected
fayetteville,10.0.0.60/32,FastEthernet1/1,local
florence,10.0.0.200/31,FastEthernet1/1,connected
florence,10.0.0.201/32,FastEthernet1/1,local
florence,10.0.1.42/31,FastEthernet0/1,connected
florence,10.0.1.42/32,FastEthernet0/1,local
florence,10.0.1.44/31,FastEthernet0/0,connected
florence,10.0.1.44/32,FastEthernet0/0,local
florence,10.0.1.46/31,FastEthernet1/0,connected
florence,10.0.1.46/32,FastEthernet1/0,local
fortttmyers,10.0.0.118/31,FastEthernet0/0,connected
fortttmyers,10.0.0.118/32,FastEthernet0/0,local
franklin,10.0.0.254/31,FastEthernet0/0,connected
franklin,10.0.0.255/32,FastEthernet0/0,local
franklin,10.0.1.2/31,FastEthernet0/1,connected
franklin,10.0.1.2/32,FastEthernet0/1,local
frontttroyal,10.0.0.188/31,FastEthernet0/1,connected
frontttroyal,10.0.0.188/32,FastEthernet0/1,local
frontttroyal,10.0.0.190/31,FastEthernet0/0,connected
frontttroyal,10.0.0.190/32,FastEthernet0/0,local
georgetown,10.0.0.244/31,FastEthernet0/1,connected
georgetown,10.0.0.245/32,FastEthernet0/1,local
georgetown,10.0.1.40/31,FastEthernet0/0,connected
georgetown,10.0.1.40/32,FastEthernet0/0,local
gettysburg,10.0.1.108/31,FastEthernet0/1,connected
gettysburg,10.0.1.109/32,FastEthernet0/1,local
gettysburg,10.0.1.110/31,FastEthernet0/0,connected
gettysburg,10.0.1.110/32,FastEthernet0/0,local
greensboro,10.0.0.48/31,FastEthernet0/0,connected
greensboro,10.0.0.49/32,FastEthernet0/0,local
greensboro,10.0.0.88/31,FastEthernet1/0,connected
greensboro,10.0.0.88/32,FastEthernet1/0,local
greensboro,10.0.0.90/31,FastEthernet0/1,connected
greensboro,10.0.0.90/32,FastEthernet0/1,local
greenville,10.0.0.42/31,FastEthernet0/1,connected
greenville,10.0.0.43/32,FastEthernet0/1,local
greenville,10.0.0.56/31,FastEthernet0/0,connected
greenville,10.0.0.56/32,FastEthernet0/0,local
greenvilleid91,10.0.0.198/31,FastEthernet0/0,connected
greenvilleid91,10.0.0.199/32,FastEthernet0/0,local
greenvilleid91,10.0.1.6/31,FastEthernet1/0,connected
greenvilleid91,10.0.1.7/32,FastEthernet1/0,local
greenvilleid91,10.0.1.8/31,FastEthernet0/1,connected
greenvilleid91,10.0.1.8/32,FastEthernet0/1,local
greenvilleid91,10.0.1.10/31,FastEthernet1/1,connected
greenvilleid91,10.0.1.10/32,FastEthernet1/1,local
greenwood,10.0.0.78/31,FastEthernet0/0,connected
greenwood,10.0.0.79/32,FastEthernet0/0,local
hagerstown,10.0.1.64/31,FastEthernet0/1,connected
hagerstown,10.0.1.65/32,FastEthernet0/1,local
hagerstown,10.0.1.106/31,FastEthernet0/0,connected
hagerstown,10.0.1.106/32,FastEthernet0/0,local
harrisonburg,10.0.0.234/31,FastEthernet0/0,connected
harrisonburg,10.0.0.235/32,FastEthernet0/0,local
harrisonburg,10.0.1.76/31,FastEthernet0/1,connected
harrisonburg,10.0.1.76/32,FastEthernet0/1,local
harrisonburg,10.0.1.78/31,FastEthernet1/0,connected
harrisonburg,10.0.1.78/32,FastEthernet1/0,local
hartwell,10.0.0.32/31,FastEthernet0/1,connected
hartwell,10.0.0.33/32,FastEthernet0/1,local
hartwell,10.0.0.64/31,FastEthernet0/0,connected
hartwell,10.0.0.65/32,FastEthernet0/0,local
hawkinsville,10.0.1.88/31,FastEthernet0/0,connected
hawkinsville,10.0.1.88/32,FastEthernet0/0,local
hawkinsville,10.0.1.90/31,FastEthernet1/0,connected
hawkinsville,10.0.1.90/32,FastEthernet1/0,local
hawkinsville,10.0.1.92/31,FastEthernet0/1,connected
hawkinsville,10.0.1.92/32,FastEthernet0/1,local
hawkinsville,128.0.1.0/24,ip,bgp
hayesville,10.0.1.16/31,FastEthernet0/1,connected
hayesville,10.0.1.17/32,FastEthernet0/1,local
hayesville,10.0.1.18/31,FastEthernet0/0,connected
hayesville,10.0.1.18/32,FastEthernet0/0,local
herndon,10.0.0.194/31,FastEthernet0/0,connected
herndon,10.0.0.195/32,FastEthernet0/0,local
herndon,10.0.1.22/31,FastEthernet0/1,connected
herndon,10.0.1.23/32,FastEthernet0/1,local
hiawassee,10.0.0.254/31,FastEthernet0/0,connected
hiawassee,10.0.0.254/32,FastEthernet0/0,local
hiawassee,10.0.1.0/31,FastEthernet0/1,connected
hiawassee,10.0.1.0/32,FastEthernet0/1,local
hickory,10.0.0.196/31,FastEthernet0/0,connected
hickory,10.0.0.197/32,FastEthernet0/0,local
hickory,10.0.1.56/31,FastEthernet0/1,connected
hickory,10.0.1.56/32,FastEthernet0/1,local
hickorytttavern,10.0.0.76/31,FastEthernet0/0,connected
hickorytttavern,10.0.0.77/32,FastEthernet0/0,local
hickorytttavern,10.0.0.84/31,FastEthernet0/1,connected
hickorytttavern,10.0.0.84/32,FastEthernet0/1,local
highttpoint,10.0.0.92/31,FastEthernet0/0,connected
highttpoint,10.0.0.93/32,FastEthernet0/0,local
highttpoint,10.0.0.100/31,FastEthernet0/1,connected
highttpoint,10.0.0.101/32,FastEthernet0/1,local
highttpoint,10.0.0.106/31,FastEthernet1/0,connected
highttpoint,10.0.0.106/32,FastEthernet1/0,local
hiltontthead,10.0.0.238/31,FastEthernet0/0,connected
hiltontthead,10.0.0.238/32,FastEthernet0/0,local
hiltontthead,10.0.0.240/31,FastEthernet0/1,connected
hiltontthead,10.0.0.240/32,FastEthernet0/1,local
hinesville,10.0.0.8/31,FastEthernet0/0,connected
hinesville,10.0.0.9/32,FastEthernet0/0,local
hinesville,10.0.1.84/31,FastEthernet0/1,connected
hinesville,10.0.1.84/32,FastEthernet0/1,local
huntington,10.0.0.152/31,FastEthernet0/1,connected
huntington,10.0.0.153/32,FastEthernet0/1,local
huntington,10.0.1.112/31,FastEthernet0/0,connected
huntington,10.0.1.113/32,FastEthernet0/0,local
jacksonville,10.0.0.12/31,FastEthernet0/1,connected
jacksonville,10.0.0.13/32,FastEthernet0/1,local
jacksonville,10.0.0.16/31,FastEthernet0/0,connected
jacksonville,10.0.0.16/32,FastEthernet0/0,local
jacksonvilleid15,10.0.0.52/31,FastEthernet0/1,connected
jacksonvilleid15,10.0.0.53/32,FastEthernet0/1,local
jacksonvilleid15,10.0.0.54/31,FastEthernet0/0,connected
jacksonvilleid15,10.0.0.54/32,FastEthernet0/0,local
johnsonttcity,10.0.0.70/31,FastEthernet0/0,connected
johnsonttcity,10.0.0.71/32,FastEthernet0/0,local
johnsonttcity,10.0.0.74/31,FastEthernet0/1,connected
johnsonttcity,10.0.0.75/32,FastEthernet0/1,local
kernersville,10.0.0.92/31,FastEthernet0/0,connected
kernersville,10.0.0.92/32,FastEthernet0/0,local
kernersville,10.0.0.94/31,FastEthernet0/1,connected
kernersville,10.0.0.94/32,FastEthernet0/1,local
kershaw,10.0.1.28/31,FastEthernet0/1,connected
kershaw,10.0.1.29/32,FastEthernet0/1,local
kershaw,10.0.1.32/31,FastEthernet0/0,connected
kershaw,10.0.1.32/32,FastEthernet0/0,local
kingsport,10.0.0.72/31,FastEthernet0/0,connected
kingsport,10.0.0.73/32,FastEthernet0/0,local
kingsport,10.0.0.74/31,FastEthernet0/1,connected
kingsport,10.0.0.74/32,FastEthernet0/1,local
kinston,10.0.0.50/31,FastEthernet0/1,connected
kinston,10.0.0.51/32,FastEthernet0/1,local
kinston,10.0.0.56/31,FastEthernet0/0,connected
kinston,10.0.0.57/32,FastEthernet0/0,local
lakettcity,10.0.0.16/31,FastEthernet0/0,connected
lakettcity,10.0.0.17/32,FastEthernet0/0,local
lakettcity,10.0.0.18/31,FastEthernet0/1,connected
lakettcity,10.0.0.18/32,FastEthernet0/1,local
lancaster,10.0.1.28/31,FastEthernet0/0,connected
lancaster,10.0.1.28/32,FastEthernet0/0,local
lancaster,10.0.1.30/31,FastEthernet0/1,connected
lancaster,10.0.1.30/32,FastEthernet0/1,local
leesburg,10.0.1.20/31,FastEthernet0/1,connected
leesburg,10.0.1.20/32,FastEthernet0/1,local
leesburg,10.0.1.22/31,FastEthernet0/0,connected
leesburg,10.0.1.22/32,FastEthernet0/0,local
leesburgid143,10.0.0.252/31,FastEthernet0/0,connected
leesburgid143,10.0.0.253/32,FastEthernet0/0,local
leesburgid143,10.0.1.104/31,FastEthernet0/1,connected
leesburgid143,10.0.1.105/32,FastEthernet0/1,local
leesburgid143,128.0.0.0/24,ip,bgp
leesburgid143,128.0.1.0/24,ip,bgp
leslie,10.0.1.88/31,FastEthernet0/0,connected
leslie,10.0.1.89/32,FastEthernet0/0,local
leslie,10.0.1.94/31,FastEthernet0/1,connected
leslie,10.0.1.95/32,FastEthernet0/1,local
leslie,128.0.1.0/24,ip,bgp
levelttcross,10.0.0.114/31,FastEthernet0/1,connected
levelttcross,10.0.0.114/32,FastEthernet0/1,local
levelttcross,10.0.0.116/31,FastEthernet0/0,connected
levelttcross,10.0.0.116/32,FastEthernet0/0,local
lexington,10.0.0.96/31,FastEthernet1/1,connected
lexington,10.0.0.97/32,FastEthernet1/1,local
lexington,10.0.0.100/31,FastEthernet1/0,connected
lexington,10.0.0.100/32,FastEthernet1/0,local
lexington,10.0.0.102/31,FastEthernet0/0,connected
lexington,10.0.0.102/32,FastEthernet0/0,local
lexington,10.0.0.104/31,FastEthernet0/1,connected
lexington,10.0.0.104/32,FastEthernet0/1,local
lexingtonid123,10.0.0.170/31,FastEthernet0/0,connected
lexingtonid123,10.0.0.171/32,FastEthernet0/0,local
lexingtonid123,10.0.1.70/31,FastEthernet0/1,connected
lexingtonid123,10.0.1.70/32,FastEthernet0/1,local
lynchburg,10.0.0.148/31,FastEthernet1/0,connected
lynchburg,10.0.0.149/32,FastEthernet1/0,local
lynchburg,10.0.1.68/31,FastEthernet0/0,connected
lynchburg,10.0.1.69/32,FastEthernet0/0,local
lynchburg,10.0.1.72/31,FastEthernet0/1,connected
lynchburg,10.0.1.72/32,FastEthernet0/1,local
macon,10.0.0.142/31,FastEthernet0/0,connected
macon,10.0.0.143/32,FastEthernet0/0,local
macon,10.0.0.226/31,FastEthernet0/1,connected
macon,10.0.0.227/32,FastEthernet0/1,local
macon,10.0.1.94/31,FastEthernet1/0,connected
macon,10.0.1.94/32,FastEthernet1/0,local
macon,128.0.1.0/24,ip,bgp
maitland,10.0.0.126/31,FastEthernet0/1,connected
maitland,10.0.0.127/32,FastEthernet0/1,local
maitland,10.0.0.252/31,FastEthernet0/0,connected
maitland,10.0.0.252/32,FastEthernet0/0,local
maitland,128.0.0.0/24,ip,bgp
maitland,128.0.1.0/24,ip,bgp
maretta,10.0.0.206/31,FastEthernet0/0,connected
maretta,10.0.0.206/32,FastEthernet0/0,local
maretta,10.0.0.208/31,FastEthernet0/1,connected
maretta,10.0.0.208/32,FastEthernet0/1,local
marion,10.0.0.86/31,FastEthernet0/0,connected
marion,10.0.0.87/32,FastEthernet0/0,local
marion,10.0.0.154/31,FastEthernet0/1,connected
marion,10.0.0.154/32,FastEthernet0/1,local
martinsburg,10.0.1.26/31,FastEthernet0/1,connected
martinsburg,10.0.1.27/32,FastEthernet0/1,local
martinsburg,10.0.1.64/31,FastEthernet0/0,connected
martinsburg,10.0.1.64/32,FastEthernet0/0,local
martinsville,10.0.1.74/31,FastEthernet0/1,connected
martinsville,10.0.1.75/32,FastEthernet0/1,local
martinsville,10.0.1.82/31,FastEthernet0/0,connected
martinsville,10.0.1.82/32,FastEthernet0/0,local
metter,10.0.1.98/31,FastEthernet0/0,connected
metter,10.0.1.99/32,FastEthernet0/0,local
metter,10.0.1.100/31,FastEthernet0/1,connected
metter,10.0.1.100/32,FastEthernet0/1,local
mobile,10.0.1.116/31,FastEthernet0/0,connected
mobile,10.0.1.117/32,FastEthernet0/0,local
mobile,10.0.1.120/31,FastEthernet0/1,connected
mobile,10.0.1.121/32,FastEthernet0/1,local
monksttcorner,10.0.0.246/31,FastEthernet0/1,connected
monksttcorner,10.0.0.247/32,FastEthernet0/1,local
monksttcorner,10.0.1.34/31,FastEthernet0/0,connected
monksttcorner,10.0.1.35/32,FastEthernet0/0,local
montgomery,10.0.0.180/31,FastEthernet1/0,connected
montgomery,10.0.0.181/32,FastEthernet1/0,local
montgomery,10.0.1.114/31,FastEthernet0/1,connected
montgomery,10.0.1.114/32,FastEthernet0/1,local
montgomery,10.0.1.116/31,FastEthernet1/1,connected
montgomery,10.0.1.116/32,FastEthernet1/1,local
montgomery,10.0.1.118/31,FastEthernet0/0,connected
montgomery,10.0.1.118/32,FastEthernet0/0,local
murphy,10.0.0.222/31,FastEthernet0/1,connected
murphy,10.0.0.223/32,FastEthernet0/1,local
murphy,10.0.1.50/31,FastEthernet0/0,connected
murphy,10.0.1.51/32,FastEthernet0/0,local
myrtlettbeach,10.0.0.62/31,FastEthernet1/0,connected
myrtlettbeach,10.0.0.63/32,FastEthernet1/0,local
myrtlettbeach,10.0.1.40/31,FastEthernet0/1,connected
