Equivalence_Class,Source,Destination
fayetteville_FastEthernet2/0,fayetteville,Wilmington
florence_FastEthernet0/0,florence,Bethune
florence_FastEthernet1/0,florence,Sumter
franklin_FastEthernet0/0,franklin,Hiawassee
franklin_FastEthernet0/1,franklin,Sylva
frontttroyal_FastEthernet0/1,frontttroyal,Warrenton
gettysburg_FastEthernet0/1,gettysburg,Chamersburg
gettysburg_FastEthernet0/0,gettysburg,Carlisle
greensboro_FastEthernet0/0,greensboro,Burlington
greensboro_FastEthernet0/1,greensboro,Danville
greenville_FastEthernet0/0,greenville,Kinston
greenvilleid91_FastEthernet0/0,greenvilleid91,Asheville
greenvilleid91_FastEthernet1/0,greenvilleid91,Easley
greenvilleid91_FastEthernet0/1,greenvilleid91,Clemson
greenvilleid91_FastEthernet1/1,greenvilleid91,Spartanburg
greenwood_FastEthernet0/0,greenwood,Abbeville
hagerstown_FastEthernet0/1,hagerstown,Martinsburg
hagerstown_FastEthernet0/0,hagerstown,Chamersburg
harrisonburg_FastEthernet0/1,harrisonburg,Staunton
harrisonburg_FastEthernet1/0,harrisonburg,Waynesboro
hartwell_FastEthernet0/1,hartwell,Augusta
hartwell_FastEthernet0/0,hartwell,Athens
hawkinsville_FastEthernet0/0,hawkinsville,Leslie
hawkinsville_FastEthernet1/0,hawkinsville,Warwick
hawkinsville_FastEthernet0/1,hawkinsville,Rentz
hayesville_FastEthernet0/0,hayesville,Andrews
herndon_FastEthernet0/0,herndon,Ashburn
herndon_FastEthernet0/1,herndon,Leesburg
hiawassee_FastEthernet0/0,hiawassee,Franklin
hickory_FastEthernet0/0,hickory,Asheville
hickory_FastEthernet0/1,hickory,Spartanburg
hickorytttavern_FastEthernet0/0,hickorytttavern,Abbeville
hickorytttavern_FastEthernet0/1,hickorytttavern,Clemson
highttpoint_FastEthernet0/0,highttpoint,Kernersville
highttpoint_FastEthernet0/1,highttpoint,Lexington
hiltontthead_FastEthernet0/0,hiltontthead,Beaufort
hinesville_FastEthernet0/0,hinesville,Darien
hinesville_FastEthernet0/1,hinesville,Savannah
huntington_FastEthernet0/1,huntington,Charleston
huntington_FastEthernet0/0,huntington,Ashland
jacksonville_FastEthernet0/1,jacksonville,Nahunta
jacksonvilleid15_FastEthernet0/0,jacksonvilleid15,Fayetteville
johnsonttcity_FastEthernet0/0,johnsonttcity,Bristol
johnsonttcity_FastEthernet0/1,johnsonttcity,Kingsport
kershaw_FastEthernet0/1,kershaw,Lancaster
kershaw_FastEthernet0/0,kershaw,Bethune
kingsport_FastEthernet0/0,kingsport,Bristol
kinston_FastEthernet0/0,kinston,Greenville
lakettcity_FastEthernet0/0,lakettcity,Jacksonville
lakettcity_FastEthernet0/1,lakettcity,Tallahassee
lancaster_FastEthernet0/0,lancaster,Kershaw
leesburg_FastEthernet0/1,leesburg,Winchester
leesburg_FastEthernet0/0,leesburg,Herndon
leesburgid143_FastEthernet0/0,leesburgid143,Maitland
leesburgid143_FastEthernet0/1,leesburgid143,Ocala
leslie_FastEthernet0/0,leslie,Hawkinsville
leslie_FastEthernet0/1,leslie,Macon
levelttcross_FastEthernet0/1,levelttcross,Sparta
levelttcross_FastEthernet0/0,levelttcross,Courtney
lexington_FastEthernet1/1,lexington,Salisbury
lexington_FastEthernet0/0,lexington,Boone
lexington_FastEthernet0/1,lexington,Courtney
lexingtonid123_FastEthernet0/0,lexingtonid123,Troutville
lexingtonid123_FastEthernet0/1,lexingtonid123,Waynesboro
lynchburg_FastEthernet1/0,lynchburg,Roanoke
lynchburg_FastEthernet0/0,lynchburg,Charlottesville
lynchburg_FastEthernet0/1,lynchburg,Danville
macon_FastEthernet0/0,macon,Albany
macon_FastEthernet0/1,macon,Atlanta
macon_FastEthernet1/0,macon,Leslie
maretta_FastEthernet0/0,maretta,Atlanta
maretta_FastEthernet0/1,maretta,Cartersville
marion_FastEthernet0/0,marion,Abingdon
marion_FastEthernet0/1,marion,Wytheville
martinsburg_FastEthernet0/0,martinsburg,Hagerstown
martinsville_FastEthernet0/0,martinsville,Danville
metter_FastEthernet0/0,metter,Pembroke
metter_FastEthernet0/1,metter,Rentz
mobile_FastEthernet0/0,mobile,Montgomery
mobile_FastEthernet0/1,mobile,Pensacola
montgomery_FastEthernet1/0,montgomery,Dothan
montgomery_FastEthernet0/1,montgomery,Columbus
montgomery_FastEthernet1/1,montgomery,Mobile
montgomery_FastEthernet0/0,montgomery,Birmingham
murphy_FastEthernet0/1,murphy,Copperhill
murphy_FastEthernet0/0,murphy,Andrews
myrtlettbeach_FastEthernet1/0,myrtlettbeach,Wilmington
myrtlettbeach_FastEthernet0/1,myrtlettbeach,Georgetown
myrtlettbeach_FastEthernet0/0,myrtlettbeach,Florence
nahunta_FastEthernet0/0,nahunta,Darien
nahunta_FastEthernet1/0,nahunta,Waycross
nahunta_FastEthernet0/1,nahunta,Jacksonville
newttbern_FastEthernet0/1,newttbern,Kinston
nodeid78_FastEthernet0/0,nodeid78,Edinburg
nodeid78_FastEthernet1/0,nodeid78,Winchester
nodeid78_FastEthernet0/1,nodeid78,Harrisonburg
nodeid79_FastEthernet0/0,nodeid79,Edinburg
nodeid82_FastEthernet0/0,nodeid82,Georgetown
nodeid82_FastEthernet1/0,nodeid82,Sumter
nodeid84_FastEthernet0/0,nodeid84,Greensboro
nodeid84_FastEthernet1/0,nodeid84,Kernersville
nodeid85_FastEthernet0/1,nodeid85,Orangeburg
nodeid85_FastEthernet1/0,nodeid85,Walterboro
nodeid85_FastEthernet0/0,nodeid85,Columbia
nodeid86_FastEthernet0/0,nodeid86,Augusta
nodeid86_FastEthernet1/0,nodeid86,Savannah
ocala_FastEthernet0/1,ocala,Tallahassee
omega_FastEthernet0/0,omega,Tifton
omega_FastEthernet0/1,omega,Vadosta
omega_FastEthernet1/1,omega,Willacoochee
omega_FastEthernet1/0,omega,Warwick
panamattcity_FastEthernet0/1,panamattcity,Crestview
panamattcity_FastEthernet1/0,panamattcity,Dothan
panamattcity_FastEthernet0/0,panamattcity,Blountstown
peerdothan_0_FastEthernet0/0,peerdothan,Dothan
peervadosta_1_FastEthernet0/0,peervadosta,Vadosta
pembroke_FastEthernet0/0,pembroke,Blitchton
pembroke_FastEthernet0/1,pembroke,Metter
pensacola_FastEthernet0/0,pensacola,Crestview
pensacola_FastEthernet0/1,pensacola,Mobile
radford_FastEthernet0/1,radford,Wytheville
radford_FastEthernet0/0,radford,Christiansburg
raleigh_FastEthernet0/1,raleigh,Fayetteville
raleigh_FastEthernet0/0,raleigh,Durham
rentz_FastEthernet0/0,rentz,Hawkinsville
rentz_FastEthernet0/1,rentz,Metter
ringgold_FastEthernet0/1,ringgold,Dalton
ringgold_FastEthernet0/0,ringgold,Chattanooga
roanoke_FastEthernet1/1,roanoke,Troutville
roanoke_FastEthernet0/0,roanoke,Charleston
roanoke_FastEthernet0/1,roanoke,Lynchburg
rocktthill_FastEthernet1/0,rocktthill,Lancaster
rocktthill_FastEthernet0/0,rocktthill,Charlotte
rocktthill_FastEthernet0/1,rocktthill,Chester
rockyttmount_FastEthernet1/0,rockyttmount,Raleigh
rockyttmount_FastEthernet0/1,rockyttmount,Greenville
rockyttmount_FastEthernet0/0,rockyttmount,Fayetteville
rockyttmountid125_FastEthernet0/1,rockyttmountid125,Roanoke
rockyttmountid125_FastEthernet0/0,rockyttmountid125,Martinsville
salisbury_FastEthernet0/1,salisbury,Lexington
salisbury_FastEthernet0/0,salisbury,Concord
savannah_FastEthernet1/1,savannah,Yemassee
savannah_FastEthernet0/1,savannah,Hinesville
savannah_FastEthernet0/0,savannah,Blitchton
sparta_FastEthernet0/0,sparta,Baldwin
sparta_FastEthernet1/0,sparta,Wytheville
spartanburg_FastEthernet1/0,spartanburg,Hickory
spartanburg_FastEthernet0/0,spartanburg,Charlotte
staunton_FastEthernet0/1,staunton,Troutville
staunton_FastEthernet0/0,staunton,Harrisonburg
staunton_FastEthernet1/0,staunton,Waynesboro
stephensttcity_FastEthernet0/0,stephensttcity,Martinsburg
sumter_FastEthernet0/0,sumter,Columbia
sumter_FastEthernet0/1,sumter,Florence
sylva_FastEthernet0/1,sylva,Franklin
sylva_FastEthernet0/0,sylva,Cherokee
tallahassee_FastEthernet0/0,tallahassee,Albany
tallahassee_FastEthernet1/1,tallahassee,Ocala
tallahassee_FastEthernet0/1,tallahassee,Blountstown
tarttheel_FastEthernet0/0,tarttheel,Fayetteville
tarttheel_FastEthernet0/1,tarttheel,Florence
tifton_FastEthernet0/0,tifton,Adel
tifton_FastEthernet0/1,tifton,Omega
toccoa_FastEthernet0/1,toccoa,Easley
toccoa_FastEthernet0/0,toccoa,Clemson
troutville_FastEthernet1/0,troutville,Roanoke
troutville_FastEthernet0/0,troutville,Blacksburg
troutville_FastEthernet1/1,troutville,Staunton
vadosta_FastEthernet0/0,vadosta,Adel
vadosta_FastEthernet0/1,vadosta,Omega
walterboro_FastEthernet0/1,walterboro,Yemassee
warrenton_FastEthernet0/0,warrenton,Ashburn
warwick_FastEthernet0/1,warwick,Omega
warwick_FastEthernet0/0,warwick,Hawkinsville
waycross_FastEthernet0/1,waycross,Nahunta
waycross_FastEthernet0/0,waycross,Douglas
waynesboro_FastEthernet0/0,waynesboro,Charlottesville
waynesboro_FastEthernet0/1,waynesboro,Harrisonburg
waynesboro_FastEthernet1/1,waynesboro,Staunton
willacoochee_FastEthernet0/1,willacoochee,Omega
willacoochee_FastEthernet0/0,willacoochee,Douglas
wilmington_FastEthernet0/0,wilmington,Fayetteville
winchester_FastEthernet0/0,winchester,Leesburg
winterttpark_FastEthernet0/1,winterttpark,Maitland
wytheville_FastEthernet0/1,wytheville,Marion
wytheville_FastEthernet1/0,wytheville,Radford
wytheville_FastEthernet1/1,wytheville,Sparta
wytheville_FastEthernet0/0,wytheville,Bland
yemassee_FastEthernet1/1,yemassee,Walterboro
yemassee_FastEthernet0/0,yemassee,Beaufort
yemassee_FastEthernet1/0,yemassee,Savannah
youngttharris_FastEthernet1/0,youngttharris,Hiawassee
youngttharris_FastEthernet0/0,youngttharris,Blairsville
youngttharris_FastEthernet0/1,youngttharris,Hayesville
