Next_Hop,Networks
frankfurt_FastEthernet0/0,10.0.0.72/32|10.0.0.72/31
frankfurt_FastEthernet1/1,10.0.0.74/31|10.0.0.74/32
frankfurt_FastEthernet3/0,10.0.0.76/32|10.0.0.76/31
geneva_FastEthernet2/0,10.0.0.51/32|10.0.0.50/31
geneva_FastEthernet0/0,10.0.0.60/32|10.0.0.60/31
geneva_FastEthernet1/0,10.0.0.62/32|10.0.0.62/31
geneva_FastEthernet0/1,10.0.0.64/32|10.0.0.64/31
geneva_FastEthernet1/1,10.0.0.66/32|10.0.0.66/31
ip 10.0.0.67,128.0.0.0/24
istanbul_FastEthernet0/1,10.0.0.33/32|10.0.0.32/31
istanbul_FastEthernet0/0,10.0.0.34/32|10.0.0.34/31
kiev_FastEthernet0/0,10.0.0.31/32|10.0.0.30/31
kiev_FastEthernet0/1,10.0.0.91/32|10.0.0.90/31
lisbon_FastEthernet0/0,10.0.0.82/31|10.0.0.83/32
ljubjana_FastEthernet0/0,10.0.0.28/31|10.0.0.28/32
london_FastEthernet0/1,10.0.0.56/31|10.0.0.57/32
london_FastEthernet0/0,10.0.0.78/31|10.0.0.79/32
london_FastEthernet1/0,10.0.0.80/31|10.0.0.80/32
london_FastEthernet1/1,10.0.0.82/32|10.0.0.82/31
london_FastEthernet2/0,10.0.0.84/32|10.0.0.84/31
luxembourg_FastEthernet0/1,10.0.0.43/32|10.0.0.42/31
luxembourg_FastEthernet0/0,10.0.0.44/32|10.0.0.44/31
lyon_FastEthernet0/0,10.0.0.65/32|10.0.0.64/31
lyon_FastEthernet1/0,10.0.0.86/31|10.0.0.87/32
lyon_FastEthernet0/1,10.0.0.96/31|10.0.0.97/32
ip 10.0.0.64,128.0.0.0/24
madrid_FastEthernet0/1,10.0.0.88/31|10.0.0.89/32
madrid_FastEthernet0/0,10.0.0.92/31|10.0.0.92/32
marseille_FastEthernet1/0,10.0.0.68/31|10.0.0.69/32
marseille_FastEthernet0/0,10.0.0.94/31|10.0.0.95/32
marseille_FastEthernet0/1,10.0.0.96/31|10.0.0.96/32
milan_FastEthernet1/0,10.0.0.6/31|10.0.0.7/32
milan_FastEthernet0/1,10.0.0.18/31|10.0.0.19/32
milan_FastEthernet1/1,10.0.0.46/31|10.0.0.47/32
milan_FastEthernet0/0,10.0.0.68/32|10.0.0.68/31
paris_FastEthernet0/0,10.0.0.59/32|10.0.0.58/31
paris_FastEthernet0/1,10.0.0.63/32|10.0.0.62/31
paris_FastEthernet1/0,10.0.0.85/32|10.0.0.84/31
paris_FastEthernet1/1,10.0.0.86/31|10.0.0.86/32
paris_FastEthernet2/0,10.0.0.88/31|10.0.0.88/32
ip 10.0.0.62,128.0.0.0/24
peergeneva_0_FastEthernet0/0,10.0.0.66/31|10.0.0.67/32
peergeneva_0_Loopback0,128.0.0.0/24|128.0.0.1/32
praha_FastEthernet0/0,10.0.0.2/31|10.0.0.3/32
praha_FastEthernet1/0,10.0.0.10/31|10.0.0.10/32
praha_FastEthernet0/1,10.0.0.12/32|10.0.0.12/31
roma_FastEthernet0/0,10.0.0.18/32|10.0.0.18/31
roma_FastEthernet0/1,10.0.0.20/31|10.0.0.20/32
rotterdam_FastEthernet0/0,10.0.0.14/32|10.0.0.14/31
rotterdam_FastEthernet0/1,10.0.0.16/31|10.0.0.16/32
sofia_FastEthernet0/1,10.0.0.24/31|10.0.0.25/32
sofia_FastEthernet0/0,10.0.0.71/32|10.0.0.70/31
stockholm_FastEthernet0/0,10.0.0.74/31|10.0.0.75/32
strasbourg_FastEthernet0/0,10.0.0.38/31|10.0.0.38/32
strasbourg_FastEthernet0/1,10.0.0.40/32|10.0.0.40/31
strasbourg_FastEthernet1/0,10.0.0.42/31|10.0.0.42/32
vaduz_FastEthernet0/0,10.0.0.36/31|10.0.0.36/32
vienna_FastEthernet0/0,10.0.0.1/32|10.0.0.0/31
vienna_FastEthernet1/0,10.0.0.6/31|10.0.0.6/32
vienna_FastEthernet0/1,10.0.0.8/32|10.0.0.8/31
warsaw_FastEthernet1/0,10.0.0.11/32|10.0.0.10/31
warsaw_FastEthernet0/0,10.0.0.77/32|10.0.0.76/31
warsaw_FastEthernet0/1,10.0.0.90/31|10.0.0.90/32
zagreb_FastEthernet0/0,10.0.0.26/31|10.0.0.27/32
zagreb_FastEthernet0/1,10.0.0.28/31|10.0.0.29/32
zurich_FastEthernet1/1,10.0.0.20/31|10.0.0.21/32
zurich_FastEthernet2/0,10.0.0.37/32|10.0.0.36/31
zurich_FastEthernet1/0,10.0.0.46/32|10.0.0.46/31
zurich_FastEthernet0/0,10.0.0.48/31|10.0.0.48/32
zurich_FastEthernet0/1,10.0.0.50/31|10.0.0.50/32
