Device,Interface,IP Address,Subnet Mask,Description
ptuj,FastEthernet0/1,10.0.0.85,/31,"""To Ormoz"""
ptuj,FastEthernet1/0,10.0.0.61,/31,"""To RogasjaTTSlatina"""
radenci,FastEthernet0/0,10.0.0.55,/31,"""To GornjaTTRadgona"""
radenci,FastEthernet0/1,10.0.0.58,/31,"""To MurskaTTSobota"""
ravnettnattkoroskem,FastEthernet0/0,10.0.0.93,/31,"""To Dravograd"""
rogasjattslatina,FastEthernet0/0,10.0.0.5,/31,"""To Krsko"""
rogasjattslatina,FastEthernet0/1,10.0.0.60,/31,"""To Ptuj"""
senozece,FastEthernet0/0,10.0.0.64,/31,"""To Divaca"""
senozece,FastEthernet0/1,10.0.0.66,/31,"""To Postojna"""
senozece,FastEthernet1/0,10.0.0.62,/31,"""To Sezana"""
sezana,FastEthernet0/0,10.0.0.63,/31,"""To Senozece"""
slovenjttgradec,FastEthernet0/0,10.0.0.74,/31,"""To Dravograd"""
slovenjttgradec,FastEthernet0/1,10.0.0.76,/31,"""To Velenje"""
slovenskattbistrica,FastEthernet0/0,10.0.0.15,/31,"""To Celje"""
slovenskattbistrica,FastEthernet0/1,10.0.0.91,/31,"""To Maribor"""
tolmin,FastEthernet0/0,10.0.0.31,/31,"""To Bled"""
tolmin,FastEthernet0/1,10.0.0.46,/31,"""To NovaTTGorica"""
trbovlje,FastEthernet0/0,10.0.0.0,/31,"""To Lasko"""
trbovlje,FastEthernet0/1,10.0.0.2,/31,"""To Ljubljana"""
velenje,FastEthernet0/0,10.0.0.9,/31,"""To Celje"""
velenje,FastEthernet0/1,10.0.0.78,/31,"""To Dravograd"""
velenje,FastEthernet1/0,10.0.0.77,/31,"""To SlovenjTTGradec"""
