,"""stttkittstt&ttnevis""",Antigua,Bahamas,Barbados,Belize,Bonaire,Caymanttislands,Columbia,Costattrica,Curacao,Dominica,Dominicanttrepublic,Ecuador,Elttsalvador,Grenada,Guadeloupe,Guatemala,Guyana,Honduras,Jamaica,Martinique,Mexico,Nicaragua,Nodeid0,Nodeid1,Nodeid13,Nodeid14,Nodeid15,Nodeid17,Nodeid22,Nodeid24,Nodeid26,Nodeid27,Nodeid28,Nodeid29,Nodeid31,Nodeid32,Nodeid33,Nodeid34,Nodeid35,Nodeid37,Nodeid38,Nodeid39,Nodeid41,Nodeid44,Nodeid45,Nodeid46,Nodeid49,Nodeid50,Nodeid56,Nodeid58,Nodeid59,Nodeid60,Nodeid62,Nodeid63,Nodeid67,Nodeid69,Nodeid7,Nodeid8,Nodeid9,Panama,Peermartinique_0,Puertottrico,Stttcroix,Stttkittstt&ttnevis,Stttmartin,Stttvincent,Suriname,Trinidadttandtttobago,Turksttandttcaicos,Usa,Venezuela,d_in,d_out,CB,EC
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0.0566,"[{'Next_Hop': 'dominica_FastEthernet0/0', 'Networks': '10.0.0.68/31|10.0.0.69/32'}, {'Next_Hop': 'dominica_FastEthernet0/1', 'Networks': '10.0.0.70/32|10.0.0.70/31'}, {'Next_Hop': 'dominica_FastEthernet1/0', 'Networks': '10.0.0.72/32|10.0.0.72/31'}]"
Dominicanttrepublic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0.1789,"[{'Next_Hop': 'dominicanttrepublic_FastEthernet1/0', 'Networks': '10.0.0.60/31|10.0.0.61/32'}, {'Next_Hop': 'dominicanttrepublic_FastEthernet0/0', 'Networks': '10.0.0.132/31|10.0.0.133/32'}, {'Next_Hop': 'dominicanttrepublic_FastEthernet0/1', 'Networks': '10.0.0.152/31|10.0.0.152/32'}]"
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'ecuador_FastEthernet0/0', 'Networks': '10.0.0.124/31|10.0.0.124/32'}]"
Elttsalvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'elttsalvador_FastEthernet0/0', 'Networks': '10.0.0.167/32|10.0.0.166/31'}]"
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0.0317,"[{'Next_Hop': 'grenada_FastEthernet0/0', 'Networks': '10.0.0.85/32|10.0.0.84/31'}, {'Next_Hop': 'grenada_FastEthernet0/1', 'Networks': '10.0.0.86/31|10.0.0.86/32'}]"
Guadeloupe,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0274,"[{'Next_Hop': 'guadeloupe_FastEthernet0/0', 'Networks': '10.0.0.65/32|10.0.0.64/31'}, {'Next_Hop': 'guadeloupe_FastEthernet0/1', 'Networks': '10.0.0.68/31|10.0.0.68/32'}]"
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0809,"[{'Next_Hop': 'guatemala_FastEthernet0/0', 'Networks': '10.0.0.90/31|10.0.0.91/32'}, {'Next_Hop': 'guatemala_FastEthernet0/1', 'Networks': '10.0.0.168/31|10.0.0.169/32'}]"
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'guyana_FastEthernet0/0', 'Networks': '10.0.0.120/31|10.0.0.121/32'}]"
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0243,"[{'Next_Hop': 'honduras_FastEthernet0/0', 'Networks': '10.0.0.158/31|10.0.0.159/32'}, {'Next_Hop': 'honduras_FastEthernet0/1', 'Networks': '10.0.0.170/31|10.0.0.171/32'}]"
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.04,"[{'Next_Hop': 'jamaica_FastEthernet0/0', 'Networks': '10.0.0.130/31|10.0.0.131/32'}, {'Next_Hop': 'jamaica_FastEthernet0/1', 'Networks': '10.0.0.134/32|10.0.0.134/31'}]"
Martinique,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.1078,"[{'Next_Hop': 'martinique_FastEthernet0/0', 'Networks': '10.0.0.71/32|10.0.0.70/31'}, {'Next_Hop': 'martinique_FastEthernet0/1', 'Networks': '10.0.0.74/31|10.0.0.74/32'}, {'Next_Hop': 'martinique_FastEthernet1/0', 'Networks': '10.0.0.76/31|10.0.0.76/32'}]"
Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0167,"[{'Next_Hop': 'mexico_FastEthernet0/0', 'Networks': '10.0.0.46/31|10.0.0.46/32'}, {'Next_Hop': 'mexico_FastEthernet0/1', 'Networks': '10.0.0.48/31|10.0.0.48/32'}]"
Nicaragua,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0398,"[{'Next_Hop': 'nicaragua_FastEthernet0/0', 'Networks': '10.0.0.16/31|10.0.0.17/32'}, {'Next_Hop': 'nicaragua_FastEthernet0/1', 'Networks': '10.0.0.162/31|10.0.0.162/32'}]"
Nodeid0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1617,"[{'Next_Hop': 'nodeid0_FastEthernet0/0', 'Networks': '10.0.0.0/32|10.0.0.0/31'}, {'Next_Hop': 'nodeid0_FastEthernet0/1', 'Networks': '10.0.0.2/31|10.0.0.2/32'}]"
Nodeid1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.3589,"[{'Next_Hop': 'nodeid1_FastEthernet0/1', 'Networks': '10.0.0.1/32|10.0.0.0/31'}, {'Next_Hop': 'nodeid1_FastEthernet1/0', 'Networks': '10.0.0.4/31|10.0.0.4/32'}, {'Next_Hop': 'nodeid1_FastEthernet1/1', 'Networks': '10.0.0.6/32|10.0.0.6/31'}, {'Next_Hop': 'nodeid1_FastEthernet0/0', 'Networks': '10.0.0.8/31|10.0.0.8/32'}, {'Next_Hop': 'nodeid1_FastEthernet2/0', 'Networks': '10.0.0.10/32|10.0.0.10/31'}]"
Nodeid13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1346,"[{'Next_Hop': 'nodeid13_FastEthernet0/1', 'Networks': '10.0.0.50/32|10.0.0.50/31'}, {'Next_Hop': 'nodeid13_FastEthernet0/0', 'Networks': '10.0.0.52/32|10.0.0.52/31'}, {'Next_Hop': 'nodeid13_FastEthernet1/0', 'Networks': '10.0.0.54/31|10.0.0.54/32'}]"
Nodeid14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'nodeid14_FastEthernet0/0', 'Networks': '10.0.0.53/32|10.0.0.52/31'}]"
Nodeid15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0301,"[{'Next_Hop': 'nodeid15_FastEthernet0/0', 'Networks': '10.0.0.49/32|10.0.0.48/31'}, {'Next_Hop': 'nodeid15_FastEthernet0/1', 'Networks': '10.0.0.56/32|10.0.0.56/31'}]"
Nodeid17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0.1329,"[{'Next_Hop': 'nodeid17_FastEthernet0/1', 'Networks': '10.0.0.59/32|10.0.0.58/31'}, {'Next_Hop': 'nodeid17_FastEthernet0/0', 'Networks': '10.0.0.62/32|10.0.0.62/31'}]"
Nodeid22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0.168,"[{'Next_Hop': 'nodeid22_FastEthernet0/1', 'Networks': '10.0.0.74/31|10.0.0.75/32'}, {'Next_Hop': 'nodeid22_FastEthernet1/0', 'Networks': '10.0.0.78/31|10.0.0.78/32'}, {'Next_Hop': 'nodeid22_FastEthernet1/1', 'Networks': '10.0.0.80/32|10.0.0.80/31'}, {'Next_Hop': 'nodeid22_FastEthernet0/0', 'Networks': '10.0.0.82/32|10.0.0.82/31'}]"
Nodeid24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0209,"[{'Next_Hop': 'nodeid24_FastEthernet0/1', 'Networks': '10.0.0.79/32|10.0.0.78/31'}, {'Next_Hop': 'nodeid24_FastEthernet0/0', 'Networks': '10.0.0.84/31|10.0.0.84/32'}]"
Nodeid26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0504,"[{'Next_Hop': 'nodeid26_FastEthernet0/0', 'Networks': '10.0.0.57/32|10.0.0.56/31'}, {'Next_Hop': 'nodeid26_FastEthernet0/1', 'Networks': '10.0.0.88/32|10.0.0.88/31'}]"
Nodeid27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1642,"[{'Next_Hop': 'nodeid27_FastEthernet0/0', 'Networks': '10.0.0.3/32|10.0.0.2/31'}, {'Next_Hop': 'nodeid27_FastEthernet1/0', 'Networks': '10.0.0.19/32|10.0.0.18/31'}, {'Next_Hop': 'nodeid27_FastEthernet0/1', 'Networks': '10.0.0.40/31|10.0.0.41/32'}]"
Nodeid28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1307,"[{'Next_Hop': 'nodeid28_FastEthernet0/1', 'Networks': '10.0.0.90/32|10.0.0.90/31'}, {'Next_Hop': 'nodeid28_FastEthernet0/0', 'Networks': '10.0.0.92/32|10.0.0.92/31'}, {'Next_Hop': 'nodeid28_FastEthernet1/0', 'Networks': '10.0.0.94/32|10.0.0.94/31'}]"
Nodeid29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.2373,"[{'Next_Hop': 'nodeid29_FastEthernet0/0', 'Networks': '10.0.0.51/32|10.0.0.50/31'}, {'Next_Hop': 'nodeid29_FastEthernet1/0', 'Networks': '10.0.0.96/31|10.0.0.96/32'}, {'Next_Hop': 'nodeid29_FastEthernet0/1', 'Networks': '10.0.0.98/32|10.0.0.98/31'}]"
Nodeid31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1914,"[{'Next_Hop': 'nodeid31_FastEthernet0/0', 'Networks': '10.0.0.55/32|10.0.0.54/31'}, {'Next_Hop': 'nodeid31_FastEthernet0/1', 'Networks': '10.0.0.89/32|10.0.0.88/31'}, {'Next_Hop': 'nodeid31_FastEthernet1/1', 'Networks': '10.0.0.104/32|10.0.0.104/31'}, {'Next_Hop': 'nodeid31_FastEthernet1/0', 'Networks': '10.0.0.106/32|10.0.0.106/31'}]"
Nodeid32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,"[{'Next_Hop': 'nodeid32_FastEthernet0/1', 'Networks': '10.0.0.108/32|10.0.0.108/31'}, {'Next_Hop': 'nodeid32_FastEthernet0/0', 'Networks': '10.0.0.110/31|10.0.0.110/32'}]"
Nodeid33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0.0863,"[{'Next_Hop': 'nodeid33_FastEthernet0/1', 'Networks': '10.0.0.112/32|10.0.0.112/31'}, {'Next_Hop': 'nodeid33_FastEthernet1/0', 'Networks': '10.0.0.114/32|10.0.0.114/31'}, {'Next_Hop': 'nodeid33_FastEthernet0/0', 'Networks': '10.0.0.116/32|10.0.0.116/31'}]"
Nodeid34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0781,"[{'Next_Hop': 'nodeid34_FastEthernet0/0', 'Networks': '10.0.0.4/31|10.0.0.5/32'}, {'Next_Hop': 'nodeid34_FastEthernet0/1', 'Networks': '10.0.0.20/31|10.0.0.21/32'}]"
Nodeid35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0.0551,"[{'Next_Hop': 'nodeid35_FastEthernet0/1', 'Networks': '10.0.0.118/32|10.0.0.118/31'}, {'Next_Hop': 'nodeid35_FastEthernet0/0', 'Networks': '10.0.0.120/32|10.0.0.120/31'}, {'Next_Hop': 'nodeid35_FastEthernet1/0', 'Networks': '10.0.0.122/32|10.0.0.122/31'}]"
Nodeid37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0278,"[{'Next_Hop': 'nodeid37_FastEthernet0/1', 'Networks': '10.0.0.6/31|10.0.0.7/32'}, {'Next_Hop': 'nodeid37_FastEthernet0/0', 'Networks': '10.0.0.124/31|10.0.0.125/32'}]"
Nodeid38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0.1269,"[{'Next_Hop': 'nodeid38_FastEthernet0/0', 'Networks': '10.0.0.32/31|10.0.0.33/32'}, {'Next_Hop': 'nodeid38_FastEthernet0/1', 'Networks': '10.0.0.126/31|10.0.0.126/32'}, {'Next_Hop': 'nodeid38_FastEthernet1/0', 'Networks': '10.0.0.128/31|10.0.0.128/32'}]"
Nodeid39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.04,"[{'Next_Hop': 'nodeid39_FastEthernet0/1', 'Networks': '10.0.0.130/31|10.0.0.130/32'}, {'Next_Hop': 'nodeid39_FastEthernet0/0', 'Networks': '10.0.0.132/31|10.0.0.132/32'}]"
Nodeid41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0461,"[{'Next_Hop': 'nodeid41_FastEthernet0/1', 'Networks': '10.0.0.126/31|10.0.0.127/32'}, {'Next_Hop': 'nodeid41_FastEthernet0/0', 'Networks': '10.0.0.135/32|10.0.0.134/31'}]"
