Device,Interface,IP Address,Subnet Mask,Description
guyana,FastEthernet0/0,10.0.0.121,/31,"""To NodeID35"""
honduras,FastEthernet0/0,10.0.0.159,/31,"""To NodeID60"""
honduras,FastEthernet0/1,10.0.0.171,/31,"""To NodeID67"""
jamaica,FastEthernet0/0,10.0.0.131,/31,"""To NodeID39"""
jamaica,FastEthernet0/1,10.0.0.134,/31,"""To NodeID41"""
martinique,FastEthernet0/0,10.0.0.71,/31,"""To Dominica"""
martinique,FastEthernet0/1,10.0.0.74,/31,"""To NodeID22"""
martinique,FastEthernet1/0,10.0.0.76,/31,"""To PeerMartinique_0"""
mexico,FastEthernet0/0,10.0.0.46,/31,"""To Belize"""
mexico,FastEthernet0/1,10.0.0.48,/31,"""To NodeID15"""
nicaragua,FastEthernet0/0,10.0.0.17,/31,"""To CostaTTRica"""
nicaragua,FastEthernet0/1,10.0.0.162,/31,"""To NodeID69"""
nodeid0,FastEthernet0/0,10.0.0.0,/31,"""To NodeID1"""
nodeid0,FastEthernet0/1,10.0.0.2,/31,"""To NodeID27"""
nodeid1,FastEthernet0/0,10.0.0.8,/31,"""To Columbia"""
nodeid1,FastEthernet0/1,10.0.0.1,/31,"""To NodeID0"""
nodeid1,FastEthernet1/0,10.0.0.4,/31,"""To NodeID34"""
nodeid1,FastEthernet1/1,10.0.0.6,/31,"""To NodeID37"""
nodeid1,FastEthernet2/0,10.0.0.10,/31,"""To NodeID7"""
nodeid13,FastEthernet0/0,10.0.0.52,/31,"""To NodeID14"""
nodeid13,FastEthernet0/1,10.0.0.50,/31,"""To NodeID29"""
nodeid13,FastEthernet1/0,10.0.0.54,/31,"""To NodeID31"""
nodeid14,FastEthernet0/0,10.0.0.53,/31,"""To NodeID13"""
nodeid15,FastEthernet0/0,10.0.0.49,/31,"""To Mexico"""
nodeid15,FastEthernet0/1,10.0.0.56,/31,"""To NodeID26"""
nodeid17,FastEthernet0/0,10.0.0.62,/31,"""To NodeID58"""
nodeid17,FastEthernet0/1,10.0.0.59,/31,"""To TurksTTandTTCaicos"""
nodeid22,FastEthernet0/0,10.0.0.82,/31,"""To Barbados"""
nodeid22,FastEthernet0/1,10.0.0.75,/31,"""To Martinique"""
nodeid22,FastEthernet1/0,10.0.0.78,/31,"""To NodeID24"""
nodeid22,FastEthernet1/1,10.0.0.80,/31,"""To StTTCroix"""
nodeid24,FastEthernet0/0,10.0.0.84,/31,"""To Grenada"""
nodeid24,FastEthernet0/1,10.0.0.79,/31,"""To NodeID22"""
nodeid26,FastEthernet0/0,10.0.0.57,/31,"""To NodeID15"""
nodeid26,FastEthernet0/1,10.0.0.88,/31,"""To NodeID31"""
nodeid27,FastEthernet0/0,10.0.0.3,/31,"""To NodeID0"""
nodeid27,FastEthernet0/1,10.0.0.41,/31,"""To NodeID9"""
nodeid27,FastEthernet1/0,10.0.0.19,/31,"""To Panama"""
nodeid28,FastEthernet0/0,10.0.0.92,/31,"""To Belize"""
nodeid28,FastEthernet0/1,10.0.0.90,/31,"""To Guatemala"""
nodeid28,FastEthernet1/0,10.0.0.94,/31,"""To NodeID67"""
nodeid29,FastEthernet0/0,10.0.0.51,/31,"""To NodeID13"""
nodeid29,FastEthernet0/1,10.0.0.98,/31,"""To NodeID46"""
nodeid29,FastEthernet1/0,10.0.0.96,/31,"""To NodeID67"""
nodeid31,FastEthernet0/0,10.0.0.55,/31,"""To NodeID13"""
nodeid31,FastEthernet0/1,10.0.0.89,/31,"""To NodeID26"""
nodeid31,FastEthernet1/0,10.0.0.106,/31,"""To NodeID44"""
nodeid31,FastEthernet1/1,10.0.0.104,/31,"""To NodeID49"""
nodeid32,FastEthernet0/0,10.0.0.110,/31,"""To NodeID44"""
nodeid32,FastEthernet0/1,10.0.0.108,/31,"""To NodeID59"""
nodeid33,FastEthernet0/0,10.0.0.116,/31,"""To NodeID45"""
nodeid33,FastEthernet0/1,10.0.0.112,/31,"""To NodeID49"""
nodeid33,FastEthernet1/0,10.0.0.114,/31,"""To USA"""
nodeid34,FastEthernet0/0,10.0.0.5,/31,"""To NodeID1"""
nodeid34,FastEthernet0/1,10.0.0.21,/31,"""To Panama"""
nodeid35,FastEthernet0/0,10.0.0.120,/31,"""To Guyana"""
nodeid35,FastEthernet0/1,10.0.0.118,/31,"""To Suriname"""
nodeid35,FastEthernet1/0,10.0.0.122,/31,"""To TrinidadTTandTTTobago"""
nodeid37,FastEthernet0/0,10.0.0.125,/31,"""To Ecuador"""
nodeid37,FastEthernet0/1,10.0.0.7,/31,"""To NodeID1"""
nodeid38,FastEthernet0/0,10.0.0.33,/31,"""To Columbia"""
nodeid38,FastEthernet0/1,10.0.0.126,/31,"""To NodeID41"""
nodeid38,FastEthernet1/0,10.0.0.128,/31,"""To USA"""
nodeid39,FastEthernet0/0,10.0.0.132,/31,"""To DominicanTTRepublic"""
nodeid39,FastEthernet0/1,10.0.0.130,/31,"""To Jamaica"""
nodeid41,FastEthernet0/0,10.0.0.135,/31,"""To Jamaica"""
nodeid41,FastEthernet0/1,10.0.0.127,/31,"""To NodeID38"""
nodeid44,FastEthernet0/0,10.0.0.107,/31,"""To NodeID31"""
nodeid44,FastEthernet0/1,10.0.0.111,/31,"""To NodeID32"""
nodeid44,FastEthernet1/0,10.0.0.140,/31,"""To NodeID45"""
nodeid44,FastEthernet1/1,10.0.0.138,/31,"""To NodeID59"""
nodeid45,FastEthernet0/0,10.0.0.103,/31,"""To Bahamas"""
nodeid45,FastEthernet0/1,10.0.0.117,/31,"""To NodeID33"""
nodeid45,FastEthernet1/0,10.0.0.141,/31,"""To NodeID44"""
nodeid45,FastEthernet1/1,10.0.0.142,/31,"""To NodeID49"""
nodeid46,FastEthernet0/0,10.0.0.137,/31,"""To CaymanTTIslands"""
nodeid46,FastEthernet0/1,10.0.0.99,/31,"""To NodeID29"""
nodeid46,FastEthernet1/0,10.0.0.43,/31,"""To NodeID9"""
nodeid49,FastEthernet0/0,10.0.0.105,/31,"""To NodeID31"""
nodeid49,FastEthernet0/1,10.0.0.113,/31,"""To NodeID33"""
nodeid49,FastEthernet1/0,10.0.0.143,/31,"""To NodeID45"""
nodeid50,FastEthernet0/0,10.0.0.37,/31,"""To NodeID8"""
nodeid50,FastEthernet0/1,10.0.0.148,/31,"""To PuertoTTRico"""
nodeid50,FastEthernet1/0,10.0.0.150,/31,"""To StTTCroix"""
nodeid56,FastEthernet0/0,10.0.0.153,/31,"""To DominicanTTRepublic"""
nodeid56,FastEthernet0/1,10.0.0.154,/31,"""To PuertoTTRico"""
nodeid58,FastEthernet0/0,10.0.0.63,/31,"""To NodeID17"""
nodeid58,FastEthernet0/1,10.0.0.156,/31,"""To NodeID59"""
nodeid59,FastEthernet0/0,10.0.0.101,/31,"""To Bahamas"""
nodeid59,FastEthernet0/1,10.0.0.109,/31,"""To NodeID32"""
nodeid59,FastEthernet1/0,10.0.0.139,/31,"""To NodeID44"""
nodeid59,FastEthernet1/1,10.0.0.157,/31,"""To NodeID58"""
nodeid60,FastEthernet0/0,10.0.0.158,/31,"""To Honduras"""
nodeid60,FastEthernet0/1,10.0.0.160,/31,"""To NodeID69"""
nodeid62,FastEthernet0/0,10.0.0.164,/31,"""To NodeID63"""
nodeid63,FastEthernet0/0,10.0.0.166,/31,"""To ElTTSalvador"""
nodeid63,FastEthernet0/1,10.0.0.168,/31,"""To Guatemala"""
nodeid63,FastEthernet1/0,10.0.0.165,/31,"""To NodeID62"""
nodeid67,FastEthernet0/0,10.0.0.170,/31,"""To Honduras"""
nodeid67,FastEthernet0/1,10.0.0.95,/31,"""To NodeID28"""
nodeid67,FastEthernet1/0,10.0.0.97,/31,"""To NodeID29"""
nodeid69,FastEthernet0/0,10.0.0.163,/31,"""To Nicaragua"""
nodeid69,FastEthernet0/1,10.0.0.161,/31,"""To NodeID60"""
nodeid7,FastEthernet0/0,10.0.0.11,/31,"""To NodeID1"""
nodeid7,FastEthernet0/1,10.0.0.25,/31,"""To Venezuela"""
nodeid8,FastEthernet0/0,10.0.0.36,/31,"""To NodeID50"""
nodeid8,FastEthernet0/1,10.0.0.38,/31,"""To StTTCroix"""
nodeid8,FastEthernet1/0,10.0.0.34,/31,"""To StTTMartin"""
nodeid9,FastEthernet0/0,10.0.0.13,/31,"""To CostaTTRica"""
nodeid9,FastEthernet0/1,10.0.0.40,/31,"""To NodeID27"""
nodeid9,FastEthernet1/0,10.0.0.42,/31,"""To NodeID46"""
panama,FastEthernet0/0,10.0.0.15,/31,"""To CostaTTRica"""
panama,FastEthernet0/1,10.0.0.18,/31,"""To NodeID27"""
panama,FastEthernet1/0,10.0.0.20,/31,"""To NodeID34"""
peermartinique_0,FastEthernet0/0,10.0.0.77,/31,"""To Martinique"""
peermartinique_0,Loopback0,128.0.0.1,/24,"""For P_PeerMartinique_0"""
puertottrico,FastEthernet0/0,10.0.0.27,/31,"""To Curacao"""
puertottrico,FastEthernet0/1,10.0.0.149,/31,"""To NodeID50"""
puertottrico,FastEthernet1/0,10.0.0.155,/31,"""To NodeID56"""
puertottrico,FastEthernet1/1,10.0.0.147,/31,"""To StTTMartin"""
stttcroix,FastEthernet0/0,10.0.0.81,/31,"""To NodeID22"""
stttcroix,FastEthernet0/1,10.0.0.151,/31,"""To NodeID50"""
stttcroix,FastEthernet1/0,10.0.0.39,/31,"""To NodeID8"""
"""stttkittstt&ttnevis""",FastEthernet0/0,10.0.0.67,/31,"""To Antigua"""
"""stttkittstt&ttnevis""",FastEthernet0/1,10.0.0.73,/31,"""To Dominica"""
"""stttkittstt&ttnevis""",FastEthernet1/0,10.0.0.144,/31,"""To StTTMartin"""
stttmartin,FastEthernet0/0,10.0.0.35,/31,"""To NodeID8"""
stttmartin,FastEthernet0/1,10.0.0.146,/31,"""To PuertoTTRico"""
stttmartin,FastEthernet1/0,10.0.0.145,/31,"""To StTTKittsTT&TTNevis"""
stttvincent,FastEthernet0/0,10.0.0.31,/31,"""To Curacao"""
stttvincent,FastEthernet0/1,10.0.0.44,/31,"""To TrinidadTTandTTTobago"""
suriname,FastEthernet0/0,10.0.0.119,/31,"""To NodeID35"""
trinidadttandtttobago,FastEthernet0/0,10.0.0.87,/31,"""To Grenada"""
trinidadttandtttobago,FastEthernet0/1,10.0.0.123,/31,"""To NodeID35"""
trinidadttandtttobago,FastEthernet1/0,10.0.0.45,/31,"""To StTTVincent"""
turksttandttcaicos,FastEthernet0/0,10.0.0.60,/31,"""To DominicanTTRepublic"""
turksttandttcaicos,FastEthernet0/1,10.0.0.58,/31,"""To NodeID17"""
usa,FastEthernet0/0,10.0.0.115,/31,"""To NodeID33"""
usa,FastEthernet0/1,10.0.0.129,/31,"""To NodeID38"""
venezuela,FastEthernet0/0,10.0.0.22,/31,"""To Curacao"""
venezuela,FastEthernet0/1,10.0.0.24,/31,"""To NodeID7"""
